iter	Passed	Remaining
0	7	7610
1	14	7351
2	21	7248
3	28	7220
4	36	7258
5	43	7171
6	50	7179
7	57	7157
8	64	7140
9	71	7097
10	79	7147
11	87	7171
12	94	7169
13	101	7120
14	108	7119
15	115	7103
16	122	7086
17	129	7090
18	137	7088
19	144	7080
20	151	7045
21	158	7035
22	165	7011
23	171	6984
24	179	6982
25	186	6980
26	193	6964
27	200	6963
28	207	6958
29	214	6940
30	221	6932
31	228	6922
32	235	6913
33	242	6898
34	249	6888
35	256	6880
36	264	6873
37	271	6863
38	278	6857
39	285	6841
40	292	6834
41	299	6827
42	306	6817
43	313	6804
44	320	6793
45	327	6787
46	334	6775
47	341	6766
48	348	6755
49	355	6746
50	361	6733
51	368	6726
52	376	6719
53	382	6709
54	390	6702
55	397	6697
56	404	6688
57	411	6680
58	418	6673
59	425	6663
60	432	6653
61	439	6649
62	446	6642
63	453	6632
64	460	6630
65	468	6624
66	475	6617
67	481	6606
68	489	6599
69	496	6592
70	503	6584
71	510	6574
72	517	6570
73	524	6559
74	531	6550
75	538	6547
76	545	6539
77	552	6533
78	559	6526
79	566	6518
80	573	6508
81	580	6501
82	588	6498
83	594	6487
84	602	6480
85	609	6474
86	616	6470
87	623	6460
88	630	6453
89	637	6449
90	644	6440
91	651	6431
92	658	6423
93	665	6413
94	672	6404
95	679	6397
96	686	6392
97	693	6382
98	700	6379
99	708	6372
100	714	6363
101	722	6356
102	729	6350
103	736	6345
104	743	6335
105	750	6328
106	757	6319
107	763	6308
108	771	6303
109	778	6296
110	785	6291
111	792	6286
112	800	6281
113	807	6273
114	814	6264
115	821	6257
116	828	6251
117	835	6242
118	842	6237
119	849	6230
120	856	6220
121	863	6213
122	870	6206
123	877	6199
124	884	6190
125	891	6183
126	898	6177
127	905	6169
128	912	6162
129	919	6156
130	927	6149
131	934	6142
132	943	6147
133	951	6150
134	960	6153
135	969	6156
136	977	6158
137	986	6161
138	994	6162
139	1003	6163
140	1010	6156
141	1017	6148
142	1024	6139
143	1031	6132
144	1038	6124
145	1045	6117
146	1052	6109
147	1060	6103
148	1067	6094
149	1073	6085
150	1081	6078
151	1088	6072
152	1095	6064
153	1102	6057
154	1110	6053
