FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,factor,vop,drbp,uPER,T_PACE,L_PACE,adjustment,aPER,PER
Precious,Achiuwa,1630173,2021-22,1610612761,TOR,22,41,22.0,994,133,316,0.421,14.0,50.0,0.28,36,66,0.545,96.0,205.0,301.0,49,22.0,26.0,41.0,85,316,Toronto Raptors,24.24,0.04130932045405912,1.087948946927491,0.7787355851803386,0.279022158856711,3490415.066812075,3189620.206636605,0.9138226100856832,0.25497675747818177,10.43
Steven,Adams,203500,2021-22,1610612763,MEM,28,50,49.0,1311,125,243,0.514,0.0,0.0,0.0,75,131,0.573,220.0,254.0,474.0,151,48.0,33.0,80.0,87,325,Memphis Grizzlies,26.22,0.04130932045405912,1.087948946927491,0.7787355851803386,0.38299247631185745,2986122.889160009,3189620.206636605,1.0681476700826065,0.4090925212316784,16.73
Bam,Adebayo,1628389,2021-22,1610612748,MIA,24,28,28.0,933,191,364,0.525,0.0,3.0,0.0,126,165,0.764,76.0,204.0,280.0,99,43.0,17.0,83.0,92,508,Miami Heat,33.32,0.04130932045405912,1.087948946927491,0.7787355851803386,0.4760860941282242,3027038.5941163898,3189620.206636605,1.0537097917536375,0.5016565791006539,20.52
LaMarcus,Aldridge,200746,2021-22,1610612751,BKN,36,36,11.0,825,207,373,0.555,12.0,38.0,0.316,58,68,0.853,54.0,148.0,202.0,31,13.0,39.0,32.0,63,484,Brooklyn Nets,22.92,0.04130932045405912,1.087948946927491,0.7787355851803386,0.5091563791803134,3288339.7115451293,3189620.206636605,0.9699789214107267,0.4938709555067114,20.2
Nickeil,Alexander-Walker,1629638,2021-22,1610612740,NOP,23,48,19.0,1279,230,616,0.373,92.0,296.0,0.311,68,93,0.731,36.0,122.0,158.0,135,39.0,17.0,80.0,83,620,New Orleans Pelicans,26.65,0.04130932045405912,1.087948946927491,0.7787355851803386,0.28191100527142454,3459936.1408492774,3189620.206636605,0.921872565501651,0.25988602167271757,10.63
Grayson,Allen,1628960,2021-22,1610612749,MIL,26,44,43.0,1246,179,422,0.424,114.0,291.0,0.392,47,54,0.87,25.0,130.0,155.0,65,37.0,15.0,28.0,63,519,Milwaukee Bucks,28.32,0.04130932045405912,1.087948946927491,0.7787355851803386,0.31922053421967345,3097465.529396649,3189620.206636605,1.0297516393210375,0.3287178684176461,13.44
Jarrett,Allen,1628386,2021-22,1610612739,CLE,23,44,44.0,1434,286,422,0.678,1.0,9.0,0.111,129,187,0.69,148.0,324.0,472.0,82,34.0,61.0,79.0,82,702,Cleveland Cavaliers,32.59,0.04130932045405912,1.087948946927491,0.7787355851803386,0.5398025742026167,3130407.730185906,3189620.206636605,1.01891526010485,0.5500130802989267,22.49
Kyle,Anderson,203937,2021-22,1610612763,MEM,28,41,8.0,911,128,296,0.432,26.0,75.0,0.347,40,62,0.645,37.0,175.0,212.0,111,46.0,24.0,42.0,62,322,Memphis Grizzlies,22.22,0.04130932045405912,1.087948946927491,0.7787355851803386,0.34457799475775625,2986122.889160009,3189620.206636605,1.0681476700826065,0.3680601822622339,15.05
Giannis,Antetokounmpo,203507,2021-22,1610612749,MIL,27,43,43.0,1408,429,801,0.536,46.0,166.0,0.277,338,468,0.722,79.0,407.0,486.0,256,43.0,61.0,150.0,140,1242,Milwaukee Bucks,32.74,0.04130932045405912,1.087948946927491,0.7787355851803386,0.7468844443712345,3097465.529396649,3189620.206636605,1.0297516393210375,0.7691054809746609,31.45
Carmelo,Anthony,2546,2021-22,1610612747,LAL,37,50,3.0,1327,229,524,0.437,116.0,296.0,0.392,98,119,0.824,41.0,167.0,208.0,52,36.0,41.0,44.0,112,672,Los Angeles Lakers,26.54,0.04130932045405912,1.087948946927491,0.7787355851803386,0.3733363526906913,3390979.3900537454,3189620.206636605,0.9406191662480293,0.3511673287979983,14.36
