Away,Home,Time / TV,date
Phoenix Suns,Philadelphia 76ers,7:00 pm,2022-02-08
Indiana Pacers,Atlanta Hawks,7:30 pm,2022-02-08
Boston Celtics,Brooklyn Nets,7:30 pm  TNT,2022-02-08
Houston Rockets,New Orleans,8:00 pm,2022-02-08
Los Angeles Clippers,Memphis Grizzlies,8:00 pm,2022-02-08
Detroit Pistons,Dallas Mavericks,8:30 pm,2022-02-08
New York,Denver Nuggets,9:00 pm,2022-02-08
Milwaukee Bucks,Los Angeles Lakers,10:00 pm  TNT,2022-02-08
Orlando Magic,Portland Trail Blazers,10:00 pm,2022-02-08
Minnesota Timberwolves,Sacramento Kings,10:00 pm,2022-02-08
Golden State Warriors,Utah Jazz,10:00 pm  ESPN,2022-02-09
Minnesota Timberwolves,Sacramento Kings,10:00 pm,2022-02-09
Los Angeles Lakers,Portland Trail Blazers,10:00 pm,2022-02-09
Toronto Raptors,Oklahoma City,8:00 pm,2022-02-09
Chicago Bulls,Charlotte Hornets,7:30 pm  ESPN,2022-02-09
San Antonio,Cleveland Cavaliers,7:00 pm,2022-02-09
Memphis Grizzlies,Detroit Pistons,7:00 pm,2022-02-10
Brooklyn Nets,Washington Wizards,7:30 pm  TNT,2022-02-10
Miami Heat,New Orleans,7:30 pm,2022-02-10
Toronto Raptors,Houston Rockets,8:00 pm,2022-02-10
Los Angeles Clippers,Dallas Mavericks,8:30 pm,2022-02-10
New York,Golden State Warriors,10:00 pm,2022-02-10
Milwaukee Bucks,Phoenix Suns,10:00 pm  TNT,2022-02-10
Orlando Magic,Utah Jazz,9:00 pm,2022-02-11
Minnesota Timberwolves,Chicago Bulls,8:00 pm,2022-02-11
San Antonio,Atlanta Hawks,7:30 pm,2022-02-11
Denver Nuggets,Boston Celtics,7:30 pm  NBAt,2022-02-11
Cleveland Cavaliers,Indiana Pacers,7:00 pm,2022-02-11
Charlotte Hornets,Detroit Pistons,7:00 pm,2022-02-11
Oklahoma City,Philadelphia 76ers,7:00 pm,2022-02-11
Orlando Magic,Phoenix Suns,9:00 pm,2022-02-12
Los Angeles Clippers,Dallas Mavericks,8:30 pm,2022-02-12
Brooklyn Nets,Miami Heat,8:00 pm,2022-02-12
Oklahoma City,Chicago Bulls,8:00 pm,2022-02-12
Denver Nuggets,Toronto Raptors,7:30 pm,2022-02-12
