Player,Team,W/L%,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,Age,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Share
Nikola Jokić,DEN,0.576,53,53,33.1,9.9,17.4,0.57,1.6,4.3,0.374,8.3,13.0,0.635,0.617,4.5,5.6,0.806,2.8,11.0,13.8,7.9,1.4,0.7,3.8,2.5,26.0,C,26,53,1753,32.6,.654,.250,.325,9.7,36.0,23.2,43.2,2.1,2.1,15.9,31.4,7.7,3.2,10.9,.298,9.4,4.7,14.1,7.1,0.4026586253489882
Giannis Antetokounmpo,MIL,0.6,49,49,32.7,10.1,18.5,0.547,1.2,3.8,0.309,8.9,14.7,0.61,0.579,8.0,11.1,0.721,1.9,9.3,11.2,6.0,1.0,1.4,3.3,3.2,29.4,PF,27,49,1604,32.3,.630,.208,.602,6.3,29.4,18.1,34.0,1.4,4.1,12.4,35.0,7.0,2.7,9.7,.292,7.8,3.5,11.3,5.4,0.3640972797381553
Joel Embiid,PHI,0.61,47,47,32.9,9.6,19.3,0.496,1.4,3.7,0.376,8.2,15.6,0.525,0.532,9.2,11.3,0.814,1.9,9.2,11.1,4.5,1.0,1.4,3.0,2.6,29.7,C,27,47,1546,31.9,.613,.191,.587,6.6,30.6,18.8,25.9,1.6,3.8,10.9,37.2,5.8,2.8,8.5,.265,7.7,2.3,10.0,4.7,0.3295329816668404
Chris Paul,PHO,0.817,58,58,33.0,5.6,11.5,0.487,1.0,3.1,0.33,4.6,8.4,0.546,0.532,2.7,3.2,0.843,0.3,4.2,4.5,10.7,1.9,0.3,2.4,2.0,14.9,PG,36,58,1916,21.1,.579,.273,.277,0.9,13.1,7.2,44.4,2.7,0.8,15.6,20.0,5.4,3.3,8.6,.216,3.1,2.2,5.2,3.5,-0.0013914707794306924
Stephen Curry,GSW,0.717,55,55,34.7,8.3,19.4,0.428,4.6,12.2,0.378,3.7,7.3,0.511,0.546,4.4,4.8,0.921,0.6,4.7,5.3,6.5,1.4,0.4,3.2,2.1,25.7,PG,33,55,1908,21.7,.595,.627,.248,1.8,14.3,8.3,31.2,1.9,1.1,13.1,31.1,4.3,3.1,7.5,.187,5.7,0.5,6.2,3.9,0.09508634928707144
Rudy Gobert,UTA,0.627,45,45,32.2,5.6,7.8,0.716,0.0,0.0,0.0,5.6,7.8,0.72,0.716,4.4,6.4,0.686,3.5,11.4,14.8,1.2,0.7,2.3,1.8,2.7,15.6,C,29,45,1448,25.2,.733,.006,.824,12.4,36.9,25.2,5.4,1.1,6.1,14.8,16.9,5.1,3.1,8.2,.272,3.2,2.1,5.3,2.7,0.10442127927438322
Luka Dončić,DAL,0.583,45,45,35.4,9.7,21.7,0.446,2.8,8.3,0.335,6.9,13.4,0.515,0.51,5.3,7.2,0.735,0.9,8.2,9.1,9.0,1.1,0.5,4.4,2.5,27.4,PG,22,45,1594,24.1,.552,.382,.332,2.7,25.9,14.2,47.4,1.6,1.2,15.0,37.1,2.2,2.7,4.9,.147,5.8,1.7,7.5,3.8,0.06422386888642538
DeMar DeRozan,CHI,0.65,56,56,35.7,10.4,19.9,0.521,0.6,1.8,0.353,9.7,18.1,0.538,0.537,6.9,8.0,0.864,0.8,4.4,5.2,5.1,0.9,0.3,2.3,2.2,28.3,PF,32,56,1997,24.9,.604,.091,.401,2.7,13.5,8.1,24.5,1.2,0.7,9.1,31.8,6.7,1.4,8.0,.193,4.4,-1.0,3.4,2.8,0.09284511085847615
Ja Morant,MEM,0.672,47,47,33.2,9.9,20.3,0.489,1.5,4.5,0.324,8.5,15.8,0.536,0.525,5.3,7.1,0.753,1.4,4.5,5.9,6.8,1.2,0.4,3.4,1.4,26.7,PG,22,47,1561,24.6,.569,.223,.348,4.3,14.5,9.3,34.8,1.8,1.1,12.7,33.3,3.9,1.6,5.6,.171,6.0,-0.2,5.8,3.1,0.1354692930871298
James Harden,PHI,0.61,45,45,36.9,6.6,16.0,0.416,2.4,7.0,0.341,4.3,9.0,0.475,0.491,6.9,8.0,0.869,1.0,7.0,8.0,10.2,1.2,0.7,4.8,2.4,22.6,SG,32,1,35,36.5,.846,.583,.750,3.2,21.8,12.6,55.8,0.0,0.0,11.1,23.1,0.4,0.0,0.4,.532,12.0,2.9,14.9,0.2,0.17724442902865256
