FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,factor,vop,drbp,uPER,T_PACE,L_PACE,adjustment,aPER,PER
Alex,Abrines,203518,2016-17,1610612760,OKC,23,68,6.0,1055,134,341,0.393,94.0,247.0,0.381,44,49,0.898,18.0,68.0,86.0,40,37.0,8.0,33.0,114,406,Oklahoma City Thunder,15.51,0.044195362537046826,1.072746188731722,0.7681900774213936,0.24111493999161454,8351603.596193403,8303179.883760957,0.9942018665188423,0.23971692338524184,10.59
Quincy,Acy,203112,2016-17,1610612751,BKN,26,32,1.0,510,65,153,0.425,36.0,83.0,0.434,43,57,0.754,18.0,89.0,107.0,18,14.0,15.0,19.0,58,209,Brooklyn Nets,14.68,0.044195362537046826,1.072746188731722,0.7681900774213936,0.31376306066317766,8304137.468797152,8303179.883760957,0.9998846857918967,0.3137268793243052,13.86
Steven,Adams,203500,2016-17,1610612760,OKC,23,80,80.0,2389,374,655,0.571,0.0,1.0,0.0,157,257,0.611,281.0,332.0,613.0,86,89.0,78.0,146.0,195,905,Oklahoma City Thunder,29.86,0.044195362537046826,1.072746188731722,0.7681900774213936,0.38237033911610674,8351603.596193403,8303179.883760957,0.9942018665188423,0.38015330485067605,16.8
Arron,Afflalo,201167,2016-17,1610612758,SAC,31,61,45.0,1580,185,420,0.44,62.0,151.0,0.411,83,93,0.892,9.0,116.0,125.0,78,21.0,6.0,42.0,104,515,Sacramento Kings,25.9,0.044195362537046826,1.072746188731722,0.7681900774213936,0.21344520732920894,8660573.357242305,8303179.883760957,0.9587332779552659,0.20463702328657382,9.04
Alexis,Ajinca,201582,2016-17,1610612740,NOP,29,39,15.0,584,89,178,0.5,0.0,4.0,0.0,29,40,0.725,46.0,131.0,177.0,12,20.0,22.0,31.0,77,207,New Orleans Pelicans,14.97,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3102362657297214,8619565.676719222,8303179.883760957,0.9632944622937558,0.2988488767801347,13.21
Cole,Aldrich,202332,2016-17,1610612750,MIN,28,62,0.0,531,45,86,0.523,0.0,0.0,0.0,15,22,0.682,51.0,107.0,158.0,25,25.0,23.0,17.0,85,105,Minnesota Timberwolves,8.56,0.044195362537046826,1.072746188731722,0.7681900774213936,0.2784230010925921,8497346.259546138,8303179.883760957,0.9771497630137115,0.2720609695351927,12.02
LaMarcus,Aldridge,200746,2016-17,1610612759,SAS,31,72,72.0,2335,500,1049,0.477,23.0,56.0,0.411,220,271,0.812,172.0,351.0,523.0,139,46.0,88.0,98.0,158,1243,San Antonio Spurs,32.43,0.044195362537046826,1.072746188731722,0.7681900774213936,0.4351587743402602,8123324.307155637,8303179.883760957,1.0221406372323323,0.4447934669013942,19.66
Lavoy,Allen,202730,2016-17,1610612754,IND,28,61,5.0,871,77,168,0.458,0.0,1.0,0.0,23,33,0.697,105.0,114.0,219.0,57,18.0,24.0,29.0,78,177,Indiana Pacers,14.28,0.044195362537046826,1.072746188731722,0.7681900774213936,0.2600769508978616,8237832.830640234,8303179.883760957,1.0079325539209376,0.2621400253344519,11.58
Tony,Allen,2754,2016-17,1610612763,MEM,35,71,66.0,1914,274,595,0.461,15.0,54.0,0.278,80,130,0.615,166.0,225.0,391.0,98,115.0,29.0,100.0,178,643,Memphis Grizzlies,26.96,0.044195362537046826,1.072746188731722,0.7681900774213936,0.30153560088834747,8640366.832415413,8303179.883760957,0.9609753896802787,0.2897682915661567,12.81
Al-Farouq,Aminu,202329,2016-17,1610612757,POR,26,61,25.0,1773,183,466,0.393,70.0,212.0,0.33,96,136,0.706,77.0,374.0,451.0,99,60.0,44.0,94.0,102,532,Portland Trail Blazers,29.07,0.044195362537046826,1.072746188731722,0.7681900774213936,0.25665486972315027,8097931.555748355,8303179.883760957,1.0253457721394181,0.2631599855696253,11.63
Justin,Anderson,1626147,2016-17,1610612742,DAL,23,51,2.0,710,111,277,0.401,37.0,122.0,0.303,70,88,0.795,39.0,110.0,149.0,32,28.0,16.0,40.0,64,329,Dallas Mavericks,16.37,0.044195362537046826,1.072746188731722,0.7681900774213936,0.32859355391551265,8892314.31236453,8303179.883760957,0.9337479076977299,0.30682354345157115,13.56
Justin,Anderson,1626147,2016-17,1610612755,PHI,23,24,8.0,518,75,162,0.463,21.0,72.0,0.292,32,41,0.78,30.0,66.0,96.0,34,13.0,7.0,26.0,45,203,Philadelphia 76ers,16.37,0.044195362537046826,1.072746188731722,0.7681900774213936,0.31165897914714935,8304554.110898259,8303179.883760957,0.9998345212615932,0.31160740621246696,13.77
Kyle,Anderson,203937,2016-17,1610612759,SAS,23,72,14.0,1020,93,209,0.445,15.0,40.0,0.375,45,57,0.789,33.0,175.0,208.0,91,51.0,26.0,39.0,63,246,San Antonio Spurs,14.17,0.044195362537046826,1.072746188731722,0.7681900774213936,0.2760140130515502,8123324.307155637,8303179.883760957,1.0221406372323323,0.2821251391855648,12.47
Ryan,Anderson,201583,2016-17,1610612745,HOU,29,72,72.0,2116,323,773,0.418,204.0,506.0,0.403,129,150,0.86,112.0,218.0,330.0,68,31.0,14.0,55.0,142,979,Houston Rockets,29.39,0.044195362537046826,1.072746188731722,0.7681900774213936,0.33249673531074403,8002199.317409525,8303179.883760957,1.037612230639722,0.3450026792062063,15.25
Giannis,Antetokounmpo,203507,2016-17,1610612749,MIL,22,80,80.0,2845,656,1259,0.521,49.0,180.0,0.272,471,612,0.77,142.0,558.0,700.0,434,131.0,151.0,234.0,246,1832,Milwaukee Bucks,35.56,0.044195362537046826,1.072746188731722,0.7681900774213936,0.5906320717238303,8609801.403148023,8303179.883760957,0.96438692310894,0.5695978463392034,25.17
Carmelo,Anthony,2546,2016-17,1610612752,NYK,33,74,74.0,2538,602,1389,0.433,151.0,421.0,0.359,304,365,0.833,62.0,376.0,438.0,213,60.0,34.0,153.0,198,1659,New York Knicks,34.3,0.044195362537046826,1.072746188731722,0.7681900774213936,0.4283237769941785,8352906.512862307,8303179.883760957,0.9940467873039429,0.42577387444695364,18.82
Trevor,Ariza,2772,2016-17,1610612745,HOU,32,80,80.0,2773,326,798,0.409,191.0,555.0,0.344,93,126,0.738,54.0,404.0,458.0,175,147.0,20.0,73.0,133,936,Houston Rockets,34.66,0.044195362537046826,1.072746188731722,0.7681900774213936,0.29725664983110606,8002199.317409525,8303179.883760957,1.037612230639722,0.3084371355037447,13.63
Darrell,Arthur,201589,2016-17,1610612743,DEN,29,41,7.0,639,95,215,0.442,53.0,117.0,0.453,19,22,0.864,25.0,87.0,112.0,42,19.0,21.0,36.0,76,262,Denver Nuggets,15.59,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3118833784447578,7903949.121222269,8303179.883760957,1.0505102900354895,0.3276366983472508,14.48
D.J.,Augustin,201571,2016-17,1610612753,ORL,29,78,20.0,1538,195,517,0.377,95.0,274.0,0.347,131,161,0.814,15.0,102.0,117.0,209,31.0,1.0,90.0,101,616,Orlando Magic,19.72,0.044195362537046826,1.072746188731722,0.7681900774213936,0.2594076514385505,8153542.855620405,8303179.883760957,1.0183523936514793,0.26416840277395653,11.67
Luke,Babbitt,202337,2016-17,1610612748,MIA,28,68,55.0,1065,113,281,0.402,87.0,210.0,0.414,11,15,0.733,12.0,129.0,141.0,36,20.0,11.0,25.0,118,324,Miami Heat,15.66,0.044195362537046826,1.072746188731722,0.7681900774213936,0.19472445657012552,8560977.619270647,8303179.883760957,0.9698868812681637,0.18886069588943702,8.35
Ron,Baker,1627758,2016-17,1610612752,NYK,24,52,13.0,857,82,217,0.378,23.0,86.0,0.267,28,43,0.651,12.0,86.0,98.0,107,34.0,8.0,56.0,74,215,New York Knicks,16.48,0.044195362537046826,1.072746188731722,0.7681900774213936,0.17740918766272096,8352906.512862307,8303179.883760957,0.9940467873039429,0.17635303303433006,7.79
Leandro,Barbosa,2571,2016-17,1610612756,PHX,34,67,0.0,963,172,392,0.439,35.0,98.0,0.357,40,45,0.889,15.0,89.0,104.0,81,31.0,8.0,48.0,82,419,Phoenix Suns,14.37,0.044195362537046826,1.072746188731722,0.7681900774213936,0.28661964376743365,8014227.29572597,8303179.883760957,1.0360549529446323,0.29695370153647577,13.12
J.J.,Barea,200826,2016-17,1610612742,DAL,33,35,6.0,771,142,343,0.414,53.0,148.0,0.358,44,51,0.863,9.0,75.0,84.0,193,14.0,1.0,63.0,30,381,Dallas Mavericks,22.03,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3849503502358668,8892314.31236453,8303179.883760957,0.9337479076977299,0.35944658410024893,15.88
Harrison,Barnes,203084,2016-17,1610612742,DAL,25,79,79.0,2804,599,1280,0.468,78.0,222.0,0.351,242,281,0.861,93.0,301.0,394.0,116,65.0,15.0,102.0,128,1518,Dallas Mavericks,35.49,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3771432032670185,8892314.31236453,8303179.883760957,0.9337479076977299,0.3521566769529982,15.56
Matt,Barnes,2440,2016-17,1610612758,SAC,37,54,13.0,1366,147,383,0.384,69.0,211.0,0.327,50,66,0.758,55.0,238.0,293.0,150,36.0,17.0,83.0,138,413,Sacramento Kings,24.0,0.044195362537046826,1.072746188731722,0.7681900774213936,0.23530673736734195,8660573.357242305,8303179.883760957,0.9587332779552659,0.2255963996411506,9.97
Will,Barton,203115,2016-17,1610612743,DEN,26,60,19.0,1705,295,666,0.443,87.0,235.0,0.37,143,190,0.753,58.0,201.0,259.0,206,48.0,28.0,97.0,110,820,Denver Nuggets,28.42,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3744214126680171,7903949.121222269,8303179.883760957,1.0505102900354895,0.3933335468173763,17.38
Brandon,Bass,101138,2016-17,1610612746,LAC,32,52,0.0,577,107,186,0.575,1.0,3.0,0.333,77,88,0.875,43.0,86.0,129.0,21,14.0,11.0,29.0,45,292,Los Angeles Clippers,11.1,0.044195362537046826,1.072746188731722,0.7681900774213936,0.4503869509144624,7948861.064570753,8303179.883760957,1.0445747908174488,0.47046285503838314,20.79
Nicolas,Batum,201587,2016-17,1610612766,CHA,28,77,77.0,2617,393,975,0.403,135.0,405.0,0.333,243,284,0.856,46.0,435.0,481.0,456,86.0,29.0,194.0,109,1164,Charlotte Hornets,33.99,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3635013624567696,8046400.115233143,8303179.883760957,1.0319123788092128,0.375101555633155,16.58
Aron,Baynes,203382,2016-17,1610612765,DET,30,75,2.0,1163,143,279,0.513,0.0,0.0,0.0,79,94,0.84,111.0,222.0,333.0,32,17.0,39.0,50.0,166,365,Detroit Pistons,15.51,0.044195362537046826,1.072746188731722,0.7681900774213936,0.29339971688044825,8243171.08005292,8303179.883760957,1.0072798202445716,0.29553561407914614,13.06
Kent,Bazemore,203145,2016-17,1610612737,ATL,27,73,64.0,1963,295,721,0.409,92.0,266.0,0.346,119,168,0.708,45.0,186.0,231.0,177,91.0,52.0,125.0,165,801,Atlanta Hawks,26.89,0.044195362537046826,1.072746188731722,0.7681900774213936,0.2842685431660528,8288577.343970669,8303179.883760957,1.0017617667283891,0.28476935802733044,12.58
Bradley,Beal,203078,2016-17,1610612764,WAS,24,77,77.0,2684,637,1322,0.482,223.0,552.0,0.404,282,342,0.825,53.0,187.0,240.0,267,83.0,21.0,156.0,169,1779,Washington Wizards,34.86,0.044195362537046826,1.072746188731722,0.7681900774213936,0.4822900156383875,8429588.041022979,8303179.883760957,0.9850042307350193,0.47505770584507034,20.99
Michael,Beasley,201563,2016-17,1610612749,MIL,28,56,6.0,935,216,406,0.532,18.0,43.0,0.419,78,105,0.743,40.0,153.0,193.0,53,27.0,27.0,66.0,92,528,Milwaukee Bucks,16.7,0.044195362537046826,1.072746188731722,0.7681900774213936,0.42763709619665435,8609801.403148023,8303179.883760957,0.96438692310894,0.4124076234083333,18.23
Marco,Belinelli,201158,2016-17,1610612766,CHA,31,74,0.0,1778,264,615,0.429,102.0,283.0,0.36,150,168,0.893,14.0,164.0,178.0,147,44.0,9.0,70.0,90,780,Charlotte Hornets,24.03,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3141307167906814,8046400.115233143,8303179.883760957,1.0319123788092128,0.3241553752205152,14.33
Dragan,Bender,1627733,2016-17,1610612756,PHX,19,43,0.0,574,57,161,0.354,28.0,101.0,0.277,4,11,0.364,23.0,80.0,103.0,23,10.0,22.0,32.0,74,146,Phoenix Suns,13.35,0.044195362537046826,1.072746188731722,0.7681900774213936,0.13574763305010368,8014227.29572597,8303179.883760957,1.0360549529446323,0.14064200757207038,6.22
Davis,Bertans,202722,2016-17,1610612759,SAS,24,67,6.0,808,103,234,0.44,69.0,173.0,0.399,28,34,0.824,22.0,76.0,98.0,46,20.0,28.0,32.0,75,303,San Antonio Spurs,12.06,0.044195362537046826,1.072746188731722,0.7681900774213936,0.2945032119905848,8123324.307155637,8303179.883760957,1.0221406372323323,0.301023700771025,13.3
Patrick,Beverley,201976,2016-17,1610612745,HOU,28,67,67.0,2058,228,543,0.42,110.0,288.0,0.382,73,95,0.768,95.0,298.0,393.0,281,99.0,25.0,100.0,222,639,Houston Rockets,30.72,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3088874643343348,8002199.317409525,8303179.883760957,1.037612230639722,0.32050541088459666,14.16
Bismack,Biyombo,202687,2016-17,1610612753,ORL,24,81,27.0,1793,179,339,0.528,0.0,0.0,0.0,125,234,0.534,157.0,410.0,567.0,74,25.0,91.0,95.0,202,483,Orlando Magic,22.14,0.044195362537046826,1.072746188731722,0.7681900774213936,0.27751808920758003,8153542.855620405,8303179.883760957,1.0183523936514793,0.2826112104261239,12.49
Nemanja,Bjelica,202357,2016-17,1610612750,MIN,29,65,1.0,1190,151,356,0.424,56.0,177.0,0.316,45,61,0.738,57.0,187.0,244.0,79,40.0,20.0,59.0,154,403,Minnesota Timberwolves,18.31,0.044195362537046826,1.072746188731722,0.7681900774213936,0.25688906903946246,8497346.259546138,8303179.883760957,0.9771497630137115,0.25101909293272373,11.09
Tarik,Black,204028,2016-17,1610612747,LAL,25,67,16.0,1091,150,294,0.51,1.0,2.0,0.5,82,109,0.752,144.0,199.0,343.0,39,29.0,44.0,58.0,173,383,Los Angeles Lakers,16.28,0.044195362537046826,1.072746188731722,0.7681900774213936,0.34831031427831394,8506977.553876488,8303179.883760957,0.9760434691610697,0.339966007492788,15.02
Eric,Bledsoe,202339,2016-17,1610612756,PHX,27,66,66.0,2176,449,1034,0.434,104.0,310.0,0.335,388,458,0.847,52.0,268.0,320.0,418,91.0,31.0,224.0,164,1390,Phoenix Suns,32.97,0.044195362537046826,1.072746188731722,0.7681900774213936,0.4825407451180113,8014227.29572597,8303179.883760957,1.0360549529446323,0.49993872897710906,22.09
