NAME,TEAM,SALARY,YEAR
Kevin Garnett,Minnesota Timberwolves,28000000,2004
Shaquille O'Neal,Los Angeles Lakers,26571000,2004
Rasheed Wallace,Detroit Pistons,18000000,2004
Dikembe Mutombo,New York Knicks,17895000,2004
Allan Houston,New York Knicks,15937000,2004
Chris Webber,Sacramento Kings,15937000,2004
Damon Stoudamire,Portland Trail Blazers,14625000,2004
Antoine Walker,Dallas Mavericks,13500000,2004
Antonio McDyess,Phoenix Suns,13500000,2004
Shareef Abdur-Rahim,Portland Trail Blazers,13500000,2004
Allen Iverson,Philadelphia 76ers,13500000,2004
Latrell Sprewell,Minnesota Timberwolves,13500000,2004
Vin Baker,New York Knicks,13500000,2004
Zydrunas Ilgauskas,Cleveland Cavaliers,13500000,2004
Anfernee Hardaway,New York Knicks,13500000,2004
Ray Allen,Oklahoma City Thunder,13500000,2004
Kobe Bryant,Los Angeles Lakers,13500000,2004
Stephon Marbury,New York Knicks,13500000,2004
Michael Finley,Dallas Mavericks,13281000,2004
Keith Van Horn,Milwaukee Bucks,13280000,2004
Tracy McGrady,Orlando Magic,13279000,2004
Tim Duncan,San Antonio Spurs,13279000,2004
Jalen Rose,Toronto Raptors,13279000,2004
Eddie Jones,Miami Heat,12320000,2004
Brian Grant,Miami Heat,12234000,2004
Vlade Divac,Sacramento Kings,12051000,2004
Antonio Davis,Chicago Bulls,12000000,2004
Vince Carter,Toronto Raptors,11953000,2004
Tim Thomas,New York Knicks,11825000,2004
Tom Gugliotta,Utah Jazz,11668000,2004
Jason Kidd,Brooklyn Nets,10950000,2004
Nick Van Exel,Golden State Warriors,10912000,2004
Glenn Robinson,Philadelphia 76ers,10730000,2004
Theo Ratliff,Portland Trail Blazers,10156000,2004
Glen Rice,Los Angeles Clippers,9600000,2004
Kerry Kittles,Brooklyn Nets,9267000,2004
Greg Ostertag,Utah Jazz,8666000,2004
Jamal Mashburn,New Orleans Pelicans,8525000,2004
Toni Kukoc,Milwaukee Bucks,8050000,2004
Maurice Taylor,Houston Rockets,7800000,2004
Derek Anderson,Portland Trail Blazers,7794000,2004
Wesley Person,Atlanta Hawks,7700000,2004
Alan Henderson,Atlanta Hawks,7682000,2004
Austin Croshere,Indiana Pacers,7610000,2004
Erick Dampier,Golden State Warriors,7482000,2004
Kelvin Cato,Houston Rockets,7344000,2004
Marcus Camby,Denver Nuggets,7250000,2004
Ron Mercer,San Antonio Spurs,7169000,2004
Shandon Anderson,New York Knicks,6700000,2004
Lorenzen Wright,Memphis Grizzlies,6600000,2004
Jerry Stackhouse,Washington Wizards,6500000,2004
Elton Brand,Los Angeles Clippers,6364000,2004
Doug Christie,Sacramento Kings,6250000,2004
Peja Stojakovic,Sacramento Kings,6250000,2004
Eddie Robinson,Chicago Bulls,6246000,2004
Bob Sura,Atlanta Hawks,6166000,2004
Charlie Ward,San Antonio Spurs,6030000,2004
Bo Outlaw,Memphis Grizzlies,5955000,2004
Howard Eisley,Phoenix Suns,5843000,2004
Steve Nash,Dallas Mavericks,5750000,2004
Steve Francis,Houston Rockets,5720000,2004
Vitaly Potapenko,Oklahoma City Thunder,5715000,2004
Nazr Mohammed,New York Knicks,5700000,2004
Eric Williams,Cleveland Cavaliers,5560000,2004
Christian Laettner,Washington Wizards,5526000,2004
Alvin Williams,Toronto Raptors,5500000,2004
Ben Wallace,Detroit Pistons,5500000,2004
Ruben Patterson,Portland Trail Blazers,5447000,2004
Calvin Booth,Oklahoma City Thunder,5446000,2004
Joe Smith,Milwaukee Bucks,5445000,2004
Clarence Weatherspoon,Houston Rockets,5445000,2004
Avery Johnson,Golden State Warriors,5445000,2004
Danny Fortson,Dallas Mavericks,5428000,2004
Jerome Williams,Chicago Bulls,5400000,2004
Brent Barry,Oklahoma City Thunder,5400000,2004
Jahidi White,Phoenix Suns,5394000,2004
Kurt Thomas,New York Knicks,5394000,2004
Cuttino Mobley,Houston Rockets,5393000,2004
Scot Pollard,Indiana Pacers,5310000,2004
Robert Horry,San Antonio Spurs,5300000,2004
Shawn Bradley,Dallas Mavericks,5194000,2004
Baron Davis,New Orleans Pelicans,5173000,2004
Kenyon Martin,Brooklyn Nets,5128000,2004
Brevin Knight,Milwaukee Bucks,5062000,2004
Corliss Williamson,Detroit Pistons,5000000,2004
Aaron McKie,Philadelphia 76ers,5000000,2004
Lamar Odom,Miami Heat,4692000,2004
Stromile Swift,Memphis Grizzlies,4614000,2004
Mark Jackson,Houston Rockets,4580000,2004
Rick Fox,Los Angeles Lakers,4549000,2004
Lamond Murray,Toronto Raptors,4500000,2004
Eric Snow,Philadelphia 76ers,4500000,2004
Michael Stewart,Boston Celtics,4480000,2004
Tony Battie,Cleveland Cavaliers,4400000,2004
Adonal Foyle,Golden State Warriors,4400000,2004
