Away,Home,Time / TV,date
Memphis,Detroit,7:00 pm,2022-02-10
Brooklyn,Washington,7:30 pm  TNT,2022-02-10
Miami,New Orleans,7:30 pm,2022-02-10
Toronto,Houston,8:00 pm,2022-02-10
L.A. Clippers,Dallas,8:30 pm,2022-02-10
New York,Golden St.,10:00 pm,2022-02-10
Milwaukee,Phoenix,10:00 pm  TNT,2022-02-10
Orlando,Utah,9:00 pm,2022-02-11
Minnesota,Chicago,8:00 pm,2022-02-11
Denver,Boston,7:30 pm  NBAt,2022-02-11
Oklahoma City,Philadelphia,7:00 pm,2022-02-11
Cleveland,Indiana,7:00 pm,2022-02-11
Charlotte,Detroit,7:00 pm,2022-02-11
San Antonio,Atlanta,7:30 pm,2022-02-11
Oklahoma City,Chicago,8:00 pm,2022-02-12
Orlando,Phoenix,9:00 pm,2022-02-12
L.A. Clippers,Dallas,8:30 pm,2022-02-12
Brooklyn,Miami,8:00 pm,2022-02-12
Denver,Toronto,7:30 pm,2022-02-12
L.A. Lakers,Golden St.,8:30 pm  ABC,2022-02-12
Memphis,Charlotte,7:00 pm,2022-02-12
Sacramento,Washington,7:00 pm,2022-02-12
San Antonio,New Orleans,7:00 pm,2022-02-12
New York,Portland,5:00 pm,2022-02-12
Cleveland,Philadelphia,7:30 pm,2022-02-12
Atlanta,Boston,2:00 pm  ABC,2022-02-13
Minnesota,Indiana,3:00 pm,2022-02-13
Golden St.,L.A. Clippers,10:30 pm  NBAt,2022-02-14
Houston,Utah,9:00 pm,2022-02-14
Portland,Milwaukee,8:00 pm,2022-02-14
San Antonio,Chicago,8:00 pm  NBAt,2022-02-14
Orlando,Denver,9:00 pm,2022-02-14
Oklahoma City,New York,7:30 pm,2022-02-14
Sacramento,Brooklyn,7:30 pm,2022-02-14
Detroit,Washington,7:00 pm,2022-02-14
Toronto,New Orleans,8:00 pm,2022-02-14
Cleveland,Atlanta,7:30 pm,2022-02-15
Dallas,Miami,7:30 pm,2022-02-15
Boston,Philadelphia,7:30 pm  TNT,2022-02-15
Memphis,New Orleans,8:00 pm,2022-02-15
Indiana,Milwaukee,8:00 pm,2022-02-15
Charlotte,Minnesota,8:00 pm,2022-02-15
L.A. Clippers,Phoenix,10:00 pm  TNT,2022-02-15
San Antonio,Oklahoma City,8:00 pm,2022-02-16
Utah,L.A. Lakers,10:00 pm  ESPN,2022-02-16
Denver,Golden St.,10:00 pm,2022-02-16
Houston,Phoenix,9:00 pm,2022-02-16
Toronto,Minnesota,8:00 pm,2022-02-16
Portland,Memphis,8:00 pm,2022-02-16
Brooklyn,New York,7:30 pm  ESPN,2022-02-16
Sacramento,Chicago,8:00 pm,2022-02-16
Washington,Indiana,7:30 pm,2022-02-16
Detroit,Boston,7:30 pm,2022-02-16
Atlanta,Orlando,7:00 pm,2022-02-16
Miami,Charlotte,7:00 pm,2022-02-17
Washington,Brooklyn,7:30 pm,2022-02-17
Dallas,New Orleans,8:00 pm,2022-02-17
Philadelphia,Milwaukee,8:30 pm  TNT,2022-02-17
Houston,L.A. Clippers,10:30 pm,2022-02-17
LeBron,Durant,TBA  TNT,2022-02-20
Cleveland,Detroit,7:00 pm,2022-02-24
Boston,Brooklyn,7:30 pm  TNT,2022-02-24
Atlanta,Chicago,8:00 pm,2022-02-24
Memphis,Minnesota,8:00 pm,2022-02-24
Phoenix,Oklahoma City,8:00 pm,2022-02-24
Golden St.,Portland,10:00 pm  TNT,2022-02-24
Denver,Sacramento,10:00 pm,2022-02-24
L.A. Clippers,L.A. Lakers,10:00 pm  ESPN,2022-02-25
New Orleans,Phoenix,9:00 pm,2022-02-25
Philadelphia,Minnesota,8:00 pm,2022-02-25
Miami,New York,7:30 pm  ESPN,2022-02-25
Dallas,Utah,9:00 pm,2022-02-25
San Antonio,Washington,7:00 pm,2022-02-25
Houston,Orlando,7:00 pm,2022-02-25
Oklahoma City,Indiana,7:00 pm,2022-02-25
Toronto,Charlotte,7:00 pm,2022-02-25
Boston,Detroit,12:00 pm,2022-02-26
Toronto,Atlanta,7:30 pm,2022-02-26
Memphis,Chicago,8:00 pm,2022-02-26
Washington,Cleveland,8:00 pm,2022-02-26
San Antonio,Miami,8:00 pm,2022-02-26
Brooklyn,Milwaukee,8:30 pm  ABC,2022-02-26
Sacramento,Denver,9:00 pm,2022-02-26
New Orleans,L.A. Lakers,10:00 pm  ESPN,2022-02-27
Denver,Portland,9:00 pm,2022-02-27
Dallas,Golden St.,7:30 pm  ESPN,2022-02-27
Detroit,Charlotte,7:00 pm,2022-02-27
L.A. Clippers,Houston,7:00 pm,2022-02-27
Utah,Phoenix,3:30 pm  ABC,2022-02-27
Philadelphia,New York,1:00 pm  ABC,2022-02-27
Boston,Indiana,5:00 pm,2022-02-27
Minnesota,Cleveland,7:00 pm,2022-02-28
Indiana,Orlando,7:00 pm,2022-02-28
Toronto,Brooklyn,7:30 pm,2022-02-28
Chicago,Miami,7:30 pm,2022-02-28
Charlotte,Milwaukee,8:00 pm  NBAt,2022-02-28
Sacramento,Oklahoma City,8:00 pm,2022-02-28
San Antonio,Memphis,8:00 pm,2022-02-28
Golden St.,Minnesota,8:00 pm,2022-03-01
Dallas,L.A. Lakers,10:00 pm  TNT,2022-03-01
L.A. Clippers,Houston,8:00 pm,2022-03-01
Atlanta,Boston,7:30 pm  TNT,2022-03-01
