iter	RMSE
0	4.407574305
1	4.302654926
2	4.20978203
3	4.121747441
4	4.044010913
5	3.967696581
6	3.894396781
7	3.831438205
8	3.766677062
9	3.711244263
10	3.661684204
11	3.611386511
12	3.567480864
13	3.524102918
14	3.486956083
15	3.450786709
16	3.415078617
17	3.386583569
18	3.355275878
19	3.327881381
20	3.301613023
21	3.274055869
22	3.247966323
23	3.226138324
24	3.205724056
25	3.186146065
26	3.169433818
27	3.154450621
28	3.138291403
29	3.122830105
30	3.11006921
31	3.097611916
32	3.083336938
33	3.069726338
34	3.058394369
35	3.046349136
36	3.033131157
37	3.023139968
38	3.011317462
39	3.00241972
40	2.993421211
41	2.985041466
42	2.978003161
43	2.971174066
44	2.963370561
45	2.955517346
46	2.949257339
47	2.943771369
48	2.937855583
49	2.930845204
50	2.923641414
51	2.918420348
52	2.910968245
53	2.90635833
54	2.901963589
55	2.896864612
56	2.891344546
57	2.886771584
58	2.881547483
59	2.877521203
60	2.871721522
61	2.866944487
62	2.862736967
63	2.857460135
64	2.852818743
65	2.848815513
66	2.844221553
67	2.840273667
68	2.835881722
69	2.830630863
70	2.827052507
71	2.823095049
72	2.819690251
73	2.815347839
74	2.81140155
75	2.808096879
76	2.803892559
77	2.800759279
78	2.797100334
79	2.794737954
80	2.791699504
81	2.787917951
82	2.784100045
83	2.780880799
84	2.77749703
85	2.774457361
86	2.772440386
87	2.76981493
88	2.765907047
89	2.764025847
90	2.76034039
91	2.75686603
92	2.752859384
93	2.749807629
94	2.747628216
95	2.744973739
96	2.742441286
97	2.739963087
98	2.737064528
99	2.733855831
100	2.731598026
101	2.72853884
102	2.72582225
103	2.722571756
104	2.72073429
105	2.718287566
106	2.716492153
107	2.714136839
108	2.712211322
109	2.709602323
110	2.706461555
111	2.704956568
112	2.702637383
113	2.700919442
114	2.697978637
115	2.69639677
116	2.694970516
117	2.692667713
118	2.69077229
119	2.689378906
120	2.686353982
121	2.684503512
122	2.683000122
123	2.680879673
124	2.679548703
125	2.677399057
126	2.675162445
127	2.673387646
128	2.67144856
129	2.668790612
130	2.66661429
131	2.663809512
132	2.661655256
133	2.658823841
134	2.656366647
135	2.653668253
136	2.651471528
137	2.649329188
138	2.647163567
139	2.644400436
140	2.642077372
141	2.640725913
142	2.638543477
143	2.637273293
144	2.635281943
145	2.634173044
146	2.632010884
147	2.630239644
148	2.628269013
149	2.62666502
150	2.623989275
151	2.622941858
152	2.621327482
153	2.618785387
154	2.616756743
155	2.61535997
156	2.613823004
157	2.612393588
158	2.610522688
159	2.608774129
160	2.607291447
161	2.604150582
162	2.602901583
163	2.601270569
164	2.599463294
165	2.598258358
166	2.595848791
167	2.594289106
168	2.592798361
169	2.591272739
170	2.589093881
171	2.587359375
172	2.585191054
173	2.583370826
174	2.58190484
175	2.579621131
176	2.577826207
177	2.575890573
178	2.573806055
179	2.572533976
180	2.570919404
181	2.568723078
182	2.567218012
183	2.565389416
184	2.563789878
185	2.56166018
186	2.559389943
187	2.557850624
188	2.556730678
189	2.554531951
190	2.552297232
191	2.55063153
192	2.549624966
193	2.548257283
194	2.546584749
195	2.545596712
196	2.543487576
197	2.541924127
198	2.540385648
199	2.539201716
200	2.537318966
201	2.535570268
202	2.533602184
203	2.532143496
204	2.529990078
205	2.52854586
206	2.526561156
207	2.525416119
208	2.523362832
209	2.522131224
210	2.520421173
211	2.51872392
212	2.517644536
213	2.515485304
214	2.512994062
215	2.511770844
216	2.510291881
217	2.508089027
218	2.506457209
219	2.504736361
220	2.502753541
221	2.501286365
222	2.498704661
223	2.496378276
224	2.495248717
225	2.494314961
226	2.492839788
227	2.491330876
228	2.489993748
229	2.488287131
230	2.486173095
231	2.484212985
232	2.482722333
233	2.48112084
234	2.479348734
235	2.478320627
236	2.47612193
237	2.474093125
238	2.472336499
239	2.471345233
240	2.46927812
241	2.466822154
242	2.465734802
243	2.463488658
244	2.461736395
245	2.459760948
246	2.458402361
247	2.456516131
248	2.454524448
249	2.452748072
250	2.450900178
251	2.449075278
252	2.447846252
253	2.446021602
254	2.444359175
255	2.442817927
256	2.441201811
257	2.439599536
258	2.438376716
259	2.437103025
260	2.434859513
261	2.433801515
262	2.431955053
263	2.430683162
264	2.429213807
265	2.427302715
266	2.426103328
267	2.42455609
268	2.42280827
