TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,TEAM_ID,ELO
Atlanta Hawks,1836,3938,568.0,1491.0,798,989,391.0,1475.0,1866.0,1105,291.0,175.0,524.0,717,5038,14.53,2021-22,0,0,0,0,0,,25,26,0.49,7,14-16,6-5,15-12,10-14,0-0,1610612737,1447.1015022151
Boston Celtics,1959,4325,625.0,1793.0,839,1029,474.0,1688.0,2162.0,1195,361.0,287.0,660.0,882,5382,15.05,2021-22,0,0,0,0,0,,28,25,0.528,5,19-14,5-6,18-10,10-15,4-2,1610612738,1453.4339869940234
Brooklyn Nets,1803,3762,457.0,1298.0,798,971,378.0,1493.0,1871.0,1145,302.0,237.0,568.0,795,4861,14.93,2021-22,0,0,0,0,0,,29,22,0.569,3,20-9,6-1,12-13,17-9,2-0,1610612751,1386.5931609863046
Charlotte Hornets,2023,4372,695.0,1895.0,739,1002,485.0,1617.0,2102.0,1270,416.0,224.0,578.0,894,5480,16.23,2021-22,0,0,0,0,0,,28,24,0.538,4.5,18-13,5-5,14-8,14-16,0-4,1610612766,1399.72004639325
Chicago Bulls,1921,4039,534.0,1415.0,803,968,343.0,1515.0,1858.0,1174,345.0,198.0,574.0,794,5179,15.12,2021-22,0,0,0,0,0,,32,19,0.627,--,21-12,6-3,19-6,13-13,0-1,1610612741,1441.079723278022
Cleveland Cavaliers,1848,3908,536.0,1520.0,745,979,471.0,1593.0,2064.0,1141,320.0,212.0,615.0,721,4977,15.32,2021-22,0,0,0,0,0,,31,21,0.596,1.5,17-11,5-3,16-9,15-12,0-0,1610612739,1451.0475847709754
Dallas Mavericks,1761,3915,592.0,1756.0,708,907,408.0,1545.0,1953.0,1098,316.0,184.0,524.0,813,4822,13.45,2021-22,0,0,0,0,0,,29,23,0.558,12.5,22-13,10-2,16-10,13-13,1-2,1610612742,1460.8515940637064
Denver Nuggets,1853,3858,557.0,1584.0,687,871,393.0,1524.0,1917.0,1260,315.0,175.0,610.0,828,4950,14.13,2021-22,0,0,0,0,0,,28,23,0.549,13,17-16,4-8,13-9,15-14,2-0,1610612743,1448.1058300020368
Detroit Pistons,1651,3870,490.0,1528.0,756,954,418.0,1393.0,1811.0,963,325.0,210.0,605.0,902,4548,12.3,2021-22,0,0,0,0,0,,12,39,0.235,20,8-20,3-7,8-17,4-22,1-1,1610612765,1226.7919655219075
Golden State Warriors,2015,4260,709.0,1942.0,791,1042,511.0,1829.0,2340.0,1362,481.0,250.0,743.0,1006,5530,16.95,2021-22,0,0,0,0,0,,40,13,0.755,2,23-8,8-1,25-4,15-9,0-2,1610612744,1575.794514162926
Houston Rockets,1847,4082,642.0,1852.0,853,1193,440.0,1513.0,1953.0,1106,326.0,209.0,771.0,947,5189,12.93,2021-22,0,0,0,0,0,,15,36,0.294,26,7-22,2-5,8-16,7-20,1-0,1610612745,1253.6936270992232
Indiana Pacers,1766,3814,525.0,1540.0,726,945,459.0,1529.0,1988.0,1043,304.0,247.0,558.0,816,4783,14.66,2021-22,0,0,0,0,0,,19,34,0.358,14,8-24,2-7,13-14,6-20,3-3,1610612754,1304.7392060484572
Los Angeles Clippers,1999,4414,648.0,1782.0,764,958,437.0,1745.0,2182.0,1171,365.0,219.0,669.0,914,5410,15.27,2021-22,0,0,0,0,0,,27,27,0.5,15.5,14-20,4-5,16-12,11-15,0-2,1610612746,1395.635064889584
Los Angeles Lakers,1984,4227,575.0,1615.0,798,1080,415.0,1553.0,1968.0,1111,357.0,242.0,652.0,851,5341,14.35,2021-22,0,0,0,0,0,,25,28,0.472,17,14-17,2-7,16-12,9-16,5-1,1610612747,1345.25223000787
Memphis Grizzlies,2165,4691,549.0,1583.0,846,1131,677.0,1756.0,2433.0,1282,510.0,323.0,654.0,913,5725,17.68,2021-22,0,0,0,0,0,,36,18,0.667,6.5,26-11,5-4,19-9,17-9,2-1,1610612763,1552.5296143482333
Miami Heat,1968,4266,680.0,1816.0,837,1027,517.0,1676.0,2193.0,1308,378.0,157.0,708.0,981,5453,16.33,2021-22,0,0,0,0,0,,33,20,0.623,--,20-12,8-2,18-6,15-14,0-3,1610612748,1475.6107951925858
Milwaukee Bucks,1878,4010,643.0,1726.0,790,1006,397.0,1636.0,2033.0,1084,330.0,182.0,593.0,688,5189,16.23,2021-22,0,0,0,0,0,,32,21,0.604,1,21-16,7-3,19-9,13-12,0-2,1610612749,1462.845117784802
Minnesota Timberwolves,1994,4428,716.0,2033.0,774,1000,554.0,1550.0,2104.0,1139,400.0,275.0,662.0,1009,5478,15.95,2021-22,0,0,0,0,0,,27,25,0.519,14.5,19-17,7-4,15-10,12-15,1-1,1610612750,1468.762531933238
New Orleans Pelicans,1636,3662,461.0,1364.0,751,947,434.0,1374.0,1808.0,994,296.0,181.0,563.0,785,4484,13.67,2021-22,0,0,0,0,0,,19,32,0.373,22,11-17,2-4,11-13,8-19,1-1,1610612740,1358.576077103283
New York Knicks,1900,4319,662.0,1835.0,831,1111,556.0,1750.0,2306.0,1081,345.0,249.0,655.0,990,5293,15.23,2021-22,0,0,0,0,0,,24,28,0.462,8.5,14-21,4-6,13-15,11-13,1-0,1610612752,1356.756482760169
Oklahoma City Thunder,1753,4198,564.0,1778.0,691,902,475.0,1637.0,2112.0,1000,350.0,214.0,594.0,826,4761,13.43,2021-22,0,0,0,0,0,,16,34,0.32,24.5,12-21,2-5,9-16,7-18,1-1,1610612760,1252.8052915989504
Orlando Magic,1801,4170,569.0,1728.0,781,979,390.0,1628.0,2018.0,1088,337.0,223.0,657.0,887,4952,14.12,2021-22,0,0,0,0,0,,12,41,0.226,21,8-29,2-10,5-18,7-23,0-1,1610612753,1219.9828454366575
Philadelphia 76ers,1902,4066,524.0,1449.0,855,1054,373.0,1586.0,1959.0,1125,357.0,254.0,559.0,852,5183,15.0,2021-22,0,0,0,0,0,,31,20,0.608,1,17-13,4-6,14-11,17-9,2-1,1610612755,1501.686710234164
Phoenix Suns,1951,4052,558.0,1501.0,715,877,360.0,1552.0,1912.0,1237,381.0,164.0,550.0,810,5175,16.36,2021-22,0,0,0,0,0,,41,10,0.804,--,26-7,5-4,22-5,19-5,1-0,1610612756,1634.866108480286
Portland Trail Blazers,1826,4086,672.0,1837.0,779,1012,401.0,1489.0,1890.0,1077,356.0,211.0,611.0,839,5103,14.04,2021-22,0,0,0,0,0,,21,31,0.404,20.5,9-23,1-7,14-13,7-18,0-1,1610612757,1321.847627436521
Sacramento Kings,2063,4537,619.0,1799.0,853,1106,473.0,1680.0,2153.0,1205,374.0,236.0,682.0,953,5598,14.77,2021-22,0,0,0,0,0,,19,35,0.352,23.5,13-21,5-7,13-16,6-19,1-0,1610612758,1264.0950962927438
San Antonio Spurs,2085,4511,540.0,1528.0,669,900,486.0,1665.0,2151.0,1337,353.0,230.0,575.0,828,5379,15.82,2021-22,0,0,0,0,0,,19,34,0.358,23,11-20,2-6,10-18,9-16,0-3,1610612759,1303.5623325565475
Toronto Raptors,1754,3981,553.0,1550.0,679,893,511.0,1317.0,1828.0,932,379.0,205.0,499.0,784,4740,13.74,2021-22,0,0,0,0,0,,27,23,0.54,4.5,19-14,5-5,15-12,12-11,2-1,1610612761,1488.445778632518
Utah Jazz,1909,4050,687.0,1897.0,843,1079,474.0,1660.0,2134.0,1031,330.0,226.0,596.0,857,5348,17.09,2021-22,0,0,0,0,0,,31,21,0.596,10.5,20-11,11-1,16-10,15-11,0-0,1610612762,1418.5366383313574
Washington Wizards,1888,4012,445.0,1370.0,809,1047,426.0,1640.0,2066.0,1170,278.0,239.0,614.0,844,5030,14.95,2021-22,0,0,0,0,0,,24,27,0.471,8,17-17,6-5,13-12,11-15,3-0,1610612764,1329.25091544456
Atlanta Hawks,2793,5917,858.0,2280.0,1332,1637,703.0,2336.0,3039.0,1592,455.0,323.0,827.0,1297,7776,15.14,2020-21,1,1,1,0,0,15.0,41,31,0.569,8   ,24-18,9-3  ,25-11,16-20,2-2 ,1610612737,1534.302652786819
Boston Celtics,2681,5739,877.0,2330.0,1077,1378,679.0,2161.0,2840.0,1501,486.0,314.0,860.0,1272,7316,14.58,2020-21,1,0,0,0,0,7.0,36,36,0.5,13  ,20-22,4-8  ,21-15,15-21,2-2 ,1610612738,1372.417343149972
Brooklyn Nets,2769,5526,948.0,2373.0,1135,1413,516.0,2187.0,2703.0,1652,423.0,312.0,804.0,1191,7621,16.31,2020-21,1,1,0,0,0,4.0,48,24,0.667,1   ,26-16,8-4  ,28-8 ,20-16,2-2 ,1610612751,1526.3013339522306
