iter	RMSE
0	4.407569532
1	4.302650077
2	4.209777264
3	4.121742184
4	4.04400549
5	3.967691306
6	3.894391505
7	3.831433023
8	3.766671816
9	3.711239021
10	3.661678945
11	3.61138112
12	3.567475458
13	3.524097476
14	3.486950641
15	3.450781324
16	3.415073095
17	3.386578066
18	3.355270247
19	3.327875862
20	3.301607304
21	3.274050114
22	3.247960634
23	3.226132762
24	3.205718419
25	3.186140624
26	3.169428233
27	3.154445035
28	3.138285925
29	3.122824647
30	3.110063749
31	3.097606428
32	3.083331293
33	3.06972068
34	3.058388564
35	3.046343259
36	3.033125219
37	3.023134017
38	3.011311699
39	3.002414043
40	2.993415509
41	2.985035755
42	2.977997506
43	2.971168446
44	2.963364846
45	2.955511672
46	2.949251764
47	2.943765763
48	2.93785
49	2.930839608
50	2.923635835
51	2.918414725
52	2.910962606
53	2.906352665
54	2.901957991
55	2.896858976
56	2.891338959
57	2.886766123
58	2.881542038
59	2.877515725
60	2.871716039
61	2.866939029
62	2.862731569
63	2.857454624
64	2.852813239
65	2.848810006
66	2.84421599
67	2.840268223
68	2.835876237
69	2.830625391
70	2.827047044
71	2.823089712
72	2.819685021
73	2.815342702
74	2.811396553
75	2.80809182
76	2.803887446
77	2.800754201
78	2.797095242
79	2.794732796
80	2.791694296
81	2.787912779
82	2.784094898
83	2.78087571
84	2.777491913
85	2.774452168
86	2.772435223
87	2.76980977
88	2.765901822
89	2.764020671
90	2.760335173
91	2.756860826
92	2.752854117
93	2.749802412
94	2.747623078
95	2.744968655
96	2.742436148
97	2.73995795
98	2.737059415
99	2.733850944
100	2.731593169
101	2.728533995
102	2.725817379
103	2.722566793
104	2.720729342
105	2.718282674
106	2.716487251
107	2.714131968
108	2.71220637
109	2.7095974
110	2.706456725
111	2.704951746
112	2.7026326
113	2.700914621
114	2.697973837
115	2.696391966
116	2.694965734
117	2.692662953
118	2.690767547
119	2.689374171
120	2.686349289
121	2.684498782
122	2.682995385
123	2.680874965
124	2.679544023
125	2.677394419
126	2.675157816
127	2.673382914
128	2.671443837
129	2.668785879
130	2.666609583
131	2.663804969
132	2.661650712
133	2.658819273
134	2.656362111
135	2.653663735
136	2.651467041
137	2.649324681
138	2.647159005
139	2.644395861
140	2.642072788
141	2.640721338
142	2.638538878
143	2.63726873
144	2.635277389
145	2.634168482
146	2.632006362
147	2.630235135
148	2.628264482
149	2.626660467
150	2.623984768
151	2.622937325
152	2.621322996
153	2.61878094
154	2.61675238
155	2.615355622
156	2.613818638
157	2.612389232
158	2.610518355
159	2.608769721
160	2.607287051
161	2.60414614
162	2.602897141
163	2.601266179
164	2.599458881
165	2.598253954
166	2.59584437
167	2.594284688
168	2.59279392
169	2.591268314
170	2.589089448
171	2.587354927
172	2.585609194
173	2.583797599
174	2.582330694
175	2.580056382
176	2.578244451
177	2.576309649
178	2.574214941
179	2.572934055
180	2.571172772
181	2.568982716
182	2.56744082
183	2.565928498
184	2.563835216
185	2.561704889
186	2.559920015
187	2.558572824
188	2.557225232
189	2.555097657
190	2.552635951
191	2.551364279
192	2.549699237
193	2.548329955
194	2.546804348
195	2.5458164
196	2.54460425
197	2.543082271
198	2.541557407
199	2.540207425
200	2.538324951
201	2.536741502
202	2.535457094
203	2.53433504
204	2.532083972
205	2.530267603
206	2.528681132
207	2.527048288
208	2.525269582
209	2.524301822
210	2.522442204
211	2.521094077
212	2.519524414
213	2.517746353
214	2.515552651
215	2.514233927
216	2.512949963
217	2.511185039
218	2.509636398
219	2.507525393
220	2.506514926
221	2.505045521
222	2.504308084
223	2.502960284
224	2.50161315
225	2.500671425
226	2.498866513
227	2.497443888
228	2.496139569
229	2.494186666
230	2.492334326
