iter	Passed	Remaining
0	136	135997
1	139	69581
2	142	47420
3	145	36351
4	149	29745
5	152	25292
6	155	22101
7	158	19714
8	162	17896
9	165	16409
10	169	15201
11	172	14183
12	175	13318
13	178	12591
14	182	11957
15	185	11400
16	188	10907
17	191	10467
18	195	10087
19	198	9734
20	201	9411
21	205	9122
22	208	8855
23	211	8616
24	214	8384
25	218	8172
26	221	7976
27	224	7801
28	228	7644
29	231	7483
30	235	7346
31	238	7208
32	241	7076
33	244	6951
34	247	6836
35	251	6725
36	254	6621
37	257	6520
38	260	6423
39	263	6328
40	266	6237
41	269	6155
42	273	6078
43	276	6003
44	279	5930
45	282	5859
46	285	5793
47	288	5728
48	291	5663
49	294	5602
50	298	5545
51	301	5498
52	304	5443
53	307	5390
54	310	5338
55	313	5290
56	316	5243
57	320	5198
58	323	5153
59	326	5110
60	329	5070
61	332	5035
62	336	5001
63	339	4963
64	342	4925
65	345	4891
66	348	4856
67	351	4822
68	354	4789
69	358	4758
70	361	4726
71	364	4694
72	367	4663
73	370	4633
74	373	4604
75	376	4577
76	379	4550
77	382	4524
78	385	4497
79	388	4471
80	391	4446
81	395	4422
82	398	4397
83	401	4373
84	404	4351
85	407	4328
86	410	4305
87	413	4284
88	416	4262
89	419	4241
90	422	4220
91	425	4200
92	428	4181
93	431	4161
94	435	4146
95	438	4127
96	441	4108
97	444	4090
98	447	4072
99	450	4056
100	453	4038
101	456	4020
102	459	4003
103	462	3987
104	465	3971
105	469	3955
106	471	3939
107	474	3922
108	478	3907
109	481	3893
110	484	3879
111	487	3864
112	490	3850
113	493	3836
114	496	3822
115	499	3808
116	502	3794
117	505	3781
118	508	3768
119	512	3755
120	515	3742
121	518	3729
122	521	3716
123	524	3703
124	527	3692
125	530	3679
126	533	3667
127	536	3657
128	539	3645
129	543	3634
130	546	3622
131	549	3611
132	552	3599
133	555	3588
134	558	3577
135	561	3566
136	564	3554
137	567	3544
138	570	3533
139	573	3523
140	576	3513
141	579	3502
142	582	3493
143	585	3482
144	588	3473
145	592	3462
146	595	3453
147	598	3443
148	601	3434
149	604	3424
150	607	3415
151	610	3405
152	613	3396
153	616	3387
154	619	3378
155	622	3369
156	625	3359
157	628	3350
158	631	3342
159	634	3333
160	638	3325
161	641	3316
162	644	3307
163	647	3299
164	650	3291
165	653	3282
166	656	3273
167	659	3265
168	662	3257
169	665	3249
170	668	3241
171	671	3233
172	674	3226
173	677	3218
174	680	3210
175	683	3202
176	687	3194
177	690	3186
178	693	3180
179	696	3173
180	699	3165
181	702	3158
182	705	3150
183	708	3143
184	711	3136
185	715	3130
186	718	3123
187	721	3116
188	724	3109
189	727	3101
190	730	3095
191	733	3088
192	737	3081
193	739	3074
194	742	3067
195	745	3059
196	749	3053
197	752	3046
198	755	3039
199	758	3033
200	761	3026
201	764	3020
202	767	3014
203	770	3007
204	773	3000
205	776	2994
206	779	2987
207	783	2981
208	786	2974
209	789	2968
210	792	2962
211	795	2955
212	798	2949
213	801	2943
214	804	2937
215	807	2931
216	810	2924
217	813	2918
218	816	2912
219	819	2906
220	822	2900
221	825	2893
222	828	2887
223	831	2881
224	834	2875
225	837	2869
226	840	2863
227	844	2858
228	847	2851
229	850	2846
230	853	2840
231	856	2834
232	859	2829
233	862	2823
234	865	2817
235	868	2811
236	871	2805
237	874	2799
238	877	2794
239	880	2788
240	883	2783
241	886	2777
242	890	2774
243	893	2768
244	896	2762
245	899	2757
246	902	2751
247	905	2746
248	908	2741
249	911	2735
250	914	2729
251	917	2724
252	920	2719
253	924	2713
254	927	2708
255	930	2703
256	933	2697
257	936	2692
258	939	2687
259	942	2681
260	945	2676
261	948	2671
262	951	2666
263	954	2660
264	957	2655
265	960	2650
266	963	2645
267	966	2640
268	969	2635
269	972	2630
270	975	2624
271	978	2619
272	981	2614
273	984	2609
274	987	2604
275	990	2599
276	994	2594
277	997	2591
278	1001	2587
279	1004	2584
280	1008	2580
281	1012	2577
282	1016	2574
283	1019	2570
284	1022	2565
285	1025	2560
286	1028	2555
287	1031	2550
288	1034	2545
289	1037	2540
290	1040	2536
291	1044	2531
292	1047	2526
293	1050	2521
294	1053	2517
295	1056	2512
296	1059	2507
297	1062	2502
298	1065	2498
299	1068	2493
300	1071	2488
301	1074	2483
302	1078	2481
303	1082	2479
304	1087	2477
305	1091	2476
306	1096	2475
307	1101	2474
308	1106	2474
309	1111	2473
310	1116	2473
311	1121	2472
312	1126	2472
313	1131	2471
314	1137	2474
315	1145	2479
316	1154	2487
317	1163	2494
318	1168	2494
319	1173	2493
320	1178	2492
321	1185	2495
322	1193	2501
323	1200	2505
324	1209	2511
325	1217	2516
326	1225	2521
327	1230	2521
328	1235	2520
329	1241	2519
330	1245	2517
331	1249	2514
332	1253	2510
333	1256	2505
334	1259	2500
335	1262	2495
336	1265	2490
337	1269	2485
338	1272	2480
339	1275	2475
340	1278	2470
341	1281	2465
342	1284	2460
343	1287	2455
344	1290	2450
345	1293	2445
346	1297	2440
347	1300	2435
348	1303	2430
349	1306	2426
350	1309	2422
351	1313	2417
352	1317	2414
353	1320	2409
354	1323	2405
355	1327	2401
356	1332	2399
357	1335	2395
358	1338	2390
359	1342	2386
360	1346	2383
361	1349	2378
362	1352	2374
363	1356	2369
364	1359	2364
365	1362	2359
366	1365	2354
367	1368	2349
368	1371	2344
369	1375	2341
370	1378	2337
371	1381	2332
372	1384	2327
373	1387	2323
374	1390	2318
375	1393	2313
376	1397	2308
377	1399	2303
378	1403	2298
379	1406	2294
380	1409	2289
381	1412	2284
382	1415	2280
383	1418	2275
384	1421	2270
385	1424	2266
386	1427	2261
387	1430	2256
388	1433	2252
389	1437	2247
390	1440	2243
391	1443	2238
392	1446	2233
393	1449	2229
394	1452	2224
395	1455	2220
396	1458	2215
397	1462	2211
398	1465	2207
399	1468	2202
400	1471	2197
401	1474	2193
402	1477	2188
403	1480	2183
404	1483	2179
405	1486	2174
406	1489	2170
407	1492	2165
408	1495	2161
409	1498	2156
410	1501	2152
411	1505	2147
412	1507	2143
413	1511	2138
414	1514	2134
415	1517	2129
416	1520	2125
417	1523	2120
418	1526	2116
419	1529	2111
420	1532	2107
421	1535	2102
422	1538	2098
423	1541	2094
424	1544	2089
425	1547	2085
426	1550	2081
427	1553	2076
428	1557	2072
429	1560	2068
430	1563	2063
431	1566	2059
432	1569	2054
433	1572	2050
434	1575	2046
435	1578	2041
436	1581	2037
437	1584	2033
438	1587	2028
439	1590	2024
440	1593	2019
441	1596	2015
442	1599	2011
443	1602	2007
444	1605	2002
445	1608	1998
446	1612	1994
447	1615	1990
448	1618	1985
449	1621	1981
450	1624	1977
451	1627	1973
452	1630	1968
453	1633	1964
454	1636	1960
455	1639	1956
456	1642	1951
457	1645	1947
458	1648	1943
459	1651	1939
460	1655	1935
461	1658	1930
462	1661	1927
463	1667	1926
464	1671	1922
465	1675	1919
466	1678	1916
467	1682	1912
468	1686	1909
469	1690	1906
470	1694	1902
471	1697	1899
472	1701	1895
473	1704	1891
474	1708	1888
475	1712	1884
476	1715	1881
477	1719	1877
478	1723	1874
479	1727	1871
480	1731	1867
481	1734	1864
482	1738	1861
483	1742	1857
484	1745	1853
485	1749	1850
486	1753	1846
487	1756	1842
488	1759	1838
489	1762	1834
490	1765	1830
491	1768	1826
492	1771	1821
493	1774	1817
494	1777	1813
