SEASON,TEAM,MONTH,ELO,GP,MIN,PTS,W,L,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
2003-04,Atlanta Hawks,December,1326.2096041760458,48.0,2319.0,4241.0,15.0,33.0,1627.0,3730.0,181.0,575.0,806.0,1047.0,549.0,1496.0,2045.0,948.0,822.0,340.0,262.0,1072.0
2003-04,Atlanta Hawks,February,1283.9279774011427,75.0,3640.0,6840.0,24.0,51.0,2554.0,5956.0,353.0,1086.0,1379.0,1786.0,912.0,2318.0,3230.0,1472.0,1249.0,559.0,381.0,1668.0
2003-04,Atlanta Hawks,January,1277.3547571636225,59.0,2862.0,5285.0,19.0,40.0,2019.0,4650.0,252.0,779.0,995.0,1312.0,694.0,1840.0,2534.0,1167.0,1007.0,440.0,332.0,1311.0
2003-04,Atlanta Hawks,March,1342.849622387379,82.0,3981.0,7611.0,28.0,54.0,2829.0,6529.0,419.0,1249.0,1534.0,1976.0,996.0,2507.0,3503.0,1648.0,1350.0,627.0,408.0,1826.0
2003-04,Atlanta Hawks,November,1369.6480763599238,33.0,1599.0,2974.0,9.0,24.0,1143.0,2619.0,130.0,419.0,558.0,728.0,389.0,1054.0,1443.0,657.0,560.0,227.0,189.0,724.0
2004-05,Atlanta Hawks,April,1206.433264553905,14.0,677.0,1254.0,2.0,12.0,490.0,1121.0,65.0,193.0,209.0,326.0,166.0,375.0,541.0,270.0,220.0,123.0,44.0,352.0
2004-05,Atlanta Hawks,December,1186.4940338196695,43.0,2074.0,3881.0,9.0,34.0,1501.0,3445.0,170.0,567.0,709.0,1064.0,589.0,1211.0,1800.0,810.0,717.0,345.0,183.0,1044.0
2004-05,Atlanta Hawks,February,1197.5346271819392,71.0,3428.0,6535.0,11.0,60.0,2542.0,5763.0,258.0,842.0,1193.0,1711.0,954.0,2028.0,2982.0,1377.0,1152.0,546.0,301.0,1738.0
2004-05,Atlanta Hawks,January,1116.2326892389367,55.0,2650.0,5012.0,10.0,45.0,1954.0,4464.0,212.0,697.0,892.0,1323.0,760.0,1555.0,2315.0,1059.0,894.0,428.0,230.0,1335.0
2004-05,Atlanta Hawks,March,1249.847286804034,82.0,3971.0,7605.0,13.0,69.0,2942.0,6672.0,304.0,973.0,1417.0,1994.0,1100.0,2335.0,3435.0,1614.0,1319.0,629.0,344.0,2009.0
2004-05,Atlanta Hawks,November,1283.9256102841418,28.0,1354.0,2509.0,5.0,23.0,974.0,2230.0,111.0,382.0,450.0,689.0,369.0,761.0,1130.0,522.0,476.0,234.0,116.0,712.0
2005-06,Atlanta Hawks,April,1143.4236937308488,14.0,672.0,1233.0,2.0,12.0,459.0,1091.0,50.0,145.0,265.0,370.0,197.0,383.0,580.0,230.0,233.0,99.0,67.0,343.0
2005-06,Atlanta Hawks,December,1247.4781775829108,43.0,2074.0,4118.0,12.0,31.0,1533.0,3385.0,207.0,538.0,845.0,1120.0,553.0,1147.0,1700.0,791.0,697.0,317.0,189.0,1088.0
2005-06,Atlanta Hawks,February,1188.4064145230382,71.0,3448.0,6883.0,22.0,49.0,2550.0,5631.0,359.0,963.0,1424.0,1893.0,934.0,1920.0,2854.0,1406.0,1121.0,506.0,331.0,1801.0
2005-06,Atlanta Hawks,January,1252.7106483434925,55.0,2660.0,5295.0,18.0,37.0,1964.0,4332.0,262.0,700.0,1105.0,1459.0,714.0,1482.0,2196.0,1057.0,880.0,399.0,254.0,1380.0
2005-06,Atlanta Hawks,March,1097.315983020975,82.0,3976.0,7972.0,26.0,56.0,2946.0,6496.0,424.0,1154.0,1656.0,2207.0,1069.0,2232.0,3301.0,1625.0,1284.0,587.0,394.0,2054.0
2005-06,Atlanta Hawks,November,1095.7243311050931,28.0,1349.0,2640.0,7.0,21.0,991.0,2198.0,129.0,314.0,529.0,718.0,360.0,764.0,1124.0,501.0,460.0,199.0,128.0,707.0
2006-07,Atlanta Hawks,April,1297.952249063374,13.0,639.0,1256.0,6.0,7.0,458.0,1034.0,79.0,233.0,261.0,353.0,156.0,407.0,563.0,226.0,214.0,89.0,69.0,330.0
2006-07,Atlanta Hawks,December,1333.9999826612598,44.0,2132.0,4051.0,17.0,27.0,1494.0,3420.0,213.0,646.0,850.0,1128.0,526.0,1209.0,1735.0,811.0,721.0,352.0,219.0,1069.0
2006-07,Atlanta Hawks,February,1272.4062896333771,73.0,3539.0,6799.0,27.0,46.0,2493.0,5666.0,320.0,962.0,1493.0,1956.0,868.0,2048.0,2916.0,1379.0,1166.0,541.0,393.0,1766.0
2006-07,Atlanta Hawks,January,1324.4217066496626,58.0,2809.0,5384.0,22.0,36.0,1985.0,4513.0,261.0,796.0,1153.0,1532.0,689.0,1606.0,2295.0,1078.0,907.0,434.0,303.0,1409.0
2006-07,Atlanta Hawks,March,1343.443889165141,82.0,3976.0,7680.0,30.0,52.0,2831.0,6372.0,341.0,1038.0,1677.0,2203.0,976.0,2312.0,3288.0,1573.0,1306.0,609.0,446.0,1970.0
2006-07,Atlanta Hawks,November,1303.6409541854302,29.0,1412.0,2702.0,9.0,20.0,989.0,2285.0,153.0,475.0,571.0,766.0,344.0,804.0,1148.0,519.0,502.0,236.0,146.0,732.0
2007-08,Atlanta Hawks,April,1388.2356494923986,15.0,730.0,1407.0,6.0,9.0,516.0,1162.0,66.0,206.0,309.0,406.0,185.0,429.0,614.0,287.0,242.0,118.0,91.0,306.0
2007-08,Atlanta Hawks,December,1343.6479263435092,43.0,2089.0,4072.0,19.0,24.0,1490.0,3386.0,163.0,509.0,929.0,1205.0,533.0,1284.0,1817.0,911.0,662.0,346.0,248.0,940.0
2007-08,Atlanta Hawks,February,1376.6596379581238,74.0,3582.0,7224.0,34.0,40.0,2662.0,5891.0,337.0,951.0,1563.0,2020.0,908.0,2216.0,3124.0,1613.0,1112.0,547.0,414.0,1531.0
2007-08,Atlanta Hawks,January,1341.911290782174,57.0,2766.0,5449.0,25.0,32.0,2003.0,4527.0,233.0,683.0,1210.0,1558.0,719.0,1701.0,2420.0,1216.0,884.0,439.0,324.0,1214.0
2007-08,Atlanta Hawks,March,1409.2838121985906,82.0,3971.0,8054.0,37.0,45.0,2975.0,6552.0,384.0,1078.0,1720.0,2227.0,1008.0,2454.0,3462.0,1804.0,1223.0,600.0,448.0,1673.0
2007-08,Atlanta Hawks,November,1326.4819819558923,28.0,1359.0,2644.0,15.0,13.0,955.0,2157.0,111.0,346.0,623.0,805.0,334.0,829.0,1163.0,568.0,437.0,226.0,155.0,607.0
2008-09,Atlanta Hawks,October,1458.3293129620524,16.0,768.0,1573.0,10.0,6.0,568.0,1264.0,149.0,356.0,288.0,385.0,181.0,476.0,657.0,329.0,221.0,112.0,84.0,336.0
2008-09,Atlanta Hawks,April,1460.050242993842,1.0,48.0,99.0,1.0,0.0,38.0,86.0,5.0,20.0,18.0,31.0,18.0,35.0,53.0,17.0,15.0,10.0,7.0,23.0
2008-09,Atlanta Hawks,December,1408.1065755811562,47.0,2261.0,4639.0,27.0,20.0,1692.0,3706.0,370.0,1003.0,885.0,1194.0,495.0,1392.0,1887.0,1001.0,616.0,352.0,219.0,953.0
2008-09,Atlanta Hawks,February,1450.5138466891124,75.0,3605.0,7348.0,43.0,32.0,2715.0,5914.0,550.0,1497.0,1368.0,1861.0,805.0,2210.0,3015.0,1527.0,964.0,552.0,349.0,1461.0
2008-09,Atlanta Hawks,January,1437.9600667869013,58.0,2789.0,5717.0,33.0,25.0,2086.0,4572.0,436.0,1194.0,1109.0,1506.0,615.0,1706.0,2321.0,1202.0,759.0,438.0,271.0,1158.0
2008-09,Atlanta Hawks,March,1446.9917438182727,82.0,3941.0,8046.0,47.0,35.0,2956.0,6451.0,597.0,1633.0,1537.0,2085.0,870.0,2412.0,3282.0,1657.0,1048.0,603.0,376.0,1610.0
2008-09,Atlanta Hawks,November,1433.0736934096094,31.0,1488.0,3046.0,21.0,10.0,1110.0,2433.0,258.0,680.0,568.0,756.0,347.0,934.0,1281.0,674.0,412.0,208.0,162.0,603.0
2009-010,Atlanta Hawks,October,1511.999277164403,21.0,1008.0,2318.0,11.0,10.0,872.0,1880.0,247.0,670.0,327.0,410.0,223.0,752.0,975.0,499.0,254.0,146.0,89.0,366.0
2009-010,Atlanta Hawks,April,1500.0547057466888,6.0,288.0,637.0,3.0,3.0,253.0,562.0,59.0,174.0,72.0,95.0,80.0,225.0,305.0,146.0,81.0,38.0,23.0,105.0
2009-10,Atlanta Hawks,October,1483.7884413368456,17.0,821.0,1741.0,12.0,5.0,668.0,1427.0,105.0,307.0,300.0,385.0,203.0,519.0,722.0,346.0,217.0,117.0,111.0,347.0
2009-10,Atlanta Hawks,April,1521.2224669117481,2.0,96.0,220.0,2.0,0.0,78.0,165.0,12.0,32.0,52.0,63.0,19.0,63.0,82.0,48.0,24.0,21.0,13.0,49.0
2009-10,Atlanta Hawks,December,1486.9024226927693,46.0,2223.0,4702.0,30.0,16.0,1792.0,3851.0,303.0,853.0,815.0,1071.0,538.0,1371.0,1909.0,1002.0,555.0,331.0,249.0,949.0
2009-10,Atlanta Hawks,February,1489.3273792516432,74.0,3587.0,7556.0,48.0,26.0,2875.0,6156.0,476.0,1316.0,1330.0,1750.0,873.0,2208.0,3081.0,1616.0,881.0,544.0,364.0,1474.0
2009-10,Atlanta Hawks,January,1487.0180401705281,58.0,2809.0,5885.0,37.0,21.0,2233.0,4820.0,366.0,1039.0,1053.0,1379.0,667.0,1713.0,2380.0,1265.0,691.0,429.0,301.0,1161.0
