TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,STREAK,LAST 10,TEAM_ID,ELO
Atlanta Hawks,2395,5073,707.0,1870.0,1056,1304,556.0,1910.0,2466.0,1400,389.0,256.0,662.0,995,6553,15.84,2021-22,0,0,0,0,0,,31,32,0.492,10.5,20-20,8-5,19-13,12-19,0-0,W 2,6-4,1610612737,1544.262911033789
Boston Celtics,2393,5207,760.0,2162.0,1020,1250,590.0,2051.0,2641.0,1477,421.0,355.0,786.0,1043,6566,15.57,2021-22,0,0,0,0,0,,38,27,0.585,4.5,27-16,8-6,22-11,16-16,4-2,W 2,8-2,1610612738,1614.4442879595626
Brooklyn Nets,2328,4995,626.0,1802.0,1004,1226,480.0,1863.0,2343.0,1438,392.0,294.0,724.0,1046,6286,14.94,2021-22,0,0,0,0,0,,32,32,0.5,10,22-17,7-5,13-18,19-14,2-0,L 3,3-7,1610612751,1416.9840708453637
Charlotte Hornets,2520,5527,853.0,2369.0,915,1244,615.0,2034.0,2649.0,1666,523.0,276.0,764.0,1154,6808,15.96,2021-22,0,0,0,0,0,,31,33,0.484,11,21-20,5-7,15-15,16-18,0-7,W 1,3-7,1610612766,1442.8217961767523
Chicago Bulls,2535,5215,652.0,1724.0,1012,1220,480.0,2026.0,2506.0,1494,423.0,268.0,739.0,1063,6734,15.78,2021-22,0,0,0,0,0,,39,25,0.609,3,24-16,7-4,24-10,15-15,0-1,L 4,6-4,1610612741,1536.0588373462772
Cleveland Cavaliers,2204,4650,640.0,1796.0,935,1221,572.0,1897.0,2469.0,1310,373.0,250.0,729.0,877,5983,14.92,2021-22,0,0,0,0,0,,36,27,0.571,5.5,21-16,7-4,19-11,17-16,0-0,L 3,4-6,1610612739,1493.7448253270168
Dallas Mavericks,2203,4809,741.0,2123.0,898,1159,524.0,1896.0,2420.0,1353,400.0,229.0,659.0,1059,6045,13.89,2021-22,0,0,0,0,0,,38,25,0.603,13,27-15,11-2,21-11,17-14,1-2,W 3,8-2,1610612742,1634.1265346685998
Denver Nuggets,2273,4721,686.0,1958.0,877,1101,489.0,1915.0,2404.0,1552,393.0,204.0,758.0,1023,6109,14.73,2021-22,0,0,0,0,0,,37,26,0.587,14,22-18,5-9,18-11,19-15,2-0,W 1,8-2,1610612743,1585.6674070008576
Detroit Pistons,2231,5227,661.0,2028.0,1001,1276,626.0,1877.0,2503.0,1338,433.0,284.0,800.0,1258,6124,13.08,2021-22,0,0,0,0,0,,17,47,0.266,25,13-25,5-7,10-21,7-26,2-1,W 2,5-5,1610612765,1381.8428731065055
Golden State Warriors,2359,4983,817.0,2265.0,930,1226,584.0,2119.0,2703.0,1601,568.0,285.0,856.0,1206,6465,16.26,2021-22,0,0,0,0,0,,43,20,0.683,8,26-14,9-2,26-7,17-13,0-2,L 3,3-7,1610612744,1561.466494674722
