Year,Series,Team1  ,Team2                 ,Winner
0   ,2021  ,Playoff,Milwaukee Bucks       ,Miami Heat            ,Miami Heat
1   ,2021  ,Playoff,Los Angeles Clippers  ,Dallas Mavericks      ,Dallas Mavericks
2   ,2021  ,Playoff,Brooklyn Nets         ,Boston Celtics        ,Boston Celtics
3   ,2021  ,Playoff,Denver Nuggets        ,Portland Trail Blazers,Portland Trail Blazers
4   ,2021  ,Playoff,Philadelphia 76ers    ,Washington Wizards    ,Washington Wizards
5   ,2021  ,Playoff,Utah Jazz             ,Memphis Grizzlies     ,Memphis Grizzlies
6   ,2021  ,Playoff,Atlanta Hawks         ,New York Knicks       ,Atlanta Hawks
7   ,2021  ,Playoff,Phoenix Suns          ,Los Angeles Lakers    ,Los Angeles Lakers
8   ,2021  ,Quarter,Milwaukee Bucks       ,Brooklyn Nets         ,Milwaukee Bucks
9   ,2021  ,Quarter,Atlanta Hawks         ,Philadelphia 76ers    ,Philadelphia 76ers
10  ,2021  ,Quarter,Phoenix Suns          ,Denver Nuggets        ,Denver Nuggets
11  ,2021  ,Quarter,Los Angeles Clippers  ,Utah Jazz             ,Los Angeles Clippers
12  ,2021  ,Semi   ,Phoenix Suns          ,Los Angeles Clippers  ,Los Angeles Clippers
13  ,2021  ,Semi   ,Milwaukee Bucks       ,Atlanta Hawks         ,Atlanta Hawks
14  ,2021  ,Final  ,Milwaukee Bucks       ,Phoenix Suns          ,Milwaukee Bucks
16  ,2020  ,Playoff,Milwaukee Bucks       ,Orlando Magic         ,Orlando Magic
17  ,2020  ,Playoff,Toronto Raptors       ,Brooklyn Nets         ,Brooklyn Nets
18  ,2020  ,Playoff,Boston Celtics        ,Philadelphia 76ers    ,Philadelphia 76ers
19  ,2020  ,Playoff,Miami Heat            ,Indiana Pacers        ,Miami Heat
20  ,2020  ,Playoff,Los Angeles Lakers    ,Portland Trail Blazers,Portland Trail Blazers
21  ,2020  ,Playoff,Los Angeles Clippers  ,Dallas Mavericks      ,Dallas Mavericks
22  ,2020  ,Playoff,Denver Nuggets        ,Utah Jazz             ,Utah Jazz
23  ,2020  ,Playoff,Houston Rockets       ,Oklahoma City Thunder ,Oklahoma City Thunder
24  ,2020  ,Quarter,Boston Celtics        ,Toronto Raptors       ,Boston Celtics
25  ,2020  ,Quarter,Miami Heat            ,Milwaukee Bucks       ,Miami Heat
26  ,2020  ,Quarter,Denver Nuggets        ,Los Angeles Clippers  ,Denver Nuggets
27  ,2020  ,Quarter,Los Angeles Lakers    ,Houston Rockets       ,Houston Rockets
28  ,2020  ,Semi   ,Miami Heat            ,Boston Celtics        ,Miami Heat
29  ,2020  ,Semi   ,Los Angeles Lakers    ,Denver Nuggets        ,Denver Nuggets
30  ,2020  ,Final  ,Los Angeles Lakers    ,Miami Heat            ,Miami Heat
32  ,2019  ,Playoff,Milwaukee Bucks       ,Detroit Pistons       ,Detroit Pistons
33  ,2019  ,Playoff,Toronto Raptors       ,Orlando Magic         ,Orlando Magic
34  ,2019  ,Playoff,Philadelphia 76ers    ,Brooklyn Nets         ,Philadelphia 76ers
35  ,2019  ,Playoff,Boston Celtics        ,Indiana Pacers        ,Indiana Pacers
36  ,2019  ,Playoff,Golden State Warriors ,Los Angeles Clippers  ,Los Angeles Clippers
37  ,2019  ,Playoff,Denver Nuggets        ,San Antonio Spurs     ,San Antonio Spurs
38  ,2019  ,Playoff,Portland Trail Blazers,Oklahoma City Thunder ,Oklahoma City Thunder
39  ,2019  ,Playoff,Houston Rockets       ,Utah Jazz             ,Utah Jazz
40  ,2019  ,Quarter,Milwaukee Bucks       ,Boston Celtics        ,Boston Celtics
41  ,2019  ,Quarter,Toronto Raptors       ,Philadelphia 76ers    ,Philadelphia 76ers
42  ,2019  ,Quarter,Golden State Warriors ,Houston Rockets       ,Houston Rockets
43  ,2019  ,Quarter,Portland Trail Blazers,Denver Nuggets        ,Portland Trail Blazers
44  ,2019  ,Semi   ,Toronto Raptors       ,Milwaukee Bucks       ,Toronto Raptors
45  ,2019  ,Semi   ,Golden State Warriors ,Portland Trail Blazers,Portland Trail Blazers
46  ,2019  ,Final  ,Toronto Raptors       ,Golden State Warriors ,Toronto Raptors
48  ,2018  ,Playoff,Toronto Raptors       ,Washington Wizards    ,Washington Wizards
49  ,2018  ,Playoff,Boston Celtics        ,Milwaukee Bucks       ,Milwaukee Bucks
50  ,2018  ,Playoff,Philadelphia 76ers    ,Miami Heat            ,Philadelphia 76ers
51  ,2018  ,Playoff,Cleveland Cavaliers   ,Indiana Pacers        ,Indiana Pacers
52  ,2018  ,Playoff,Houston Rockets       ,Minnesota Timberwolves,Minnesota Timberwolves
53  ,2018  ,Playoff,Golden State Warriors ,San Antonio Spurs     ,San Antonio Spurs
54  ,2018  ,Playoff,New Orleans Pelicans  ,Portland Trail Blazers,New Orleans Pelicans
55  ,2018  ,Playoff,Utah Jazz             ,Oklahoma City Thunder ,Utah Jazz
56  ,2018  ,Quarter,Golden State Warriors ,New Orleans Pelicans  ,New Orleans Pelicans
57  ,2018  ,Quarter,Houston Rockets       ,Utah Jazz             ,Utah Jazz
58  ,2018  ,Quarter,Boston Celtics        ,Philadelphia 76ers    ,Philadelphia 76ers
59  ,2018  ,Quarter,Cleveland Cavaliers   ,Toronto Raptors       ,Cleveland Cavaliers
60  ,2018  ,Semi   ,Cleveland Cavaliers   ,Boston Celtics        ,Cleveland Cavaliers
61  ,2018  ,Semi   ,Golden State Warriors ,Houston Rockets       ,Golden State Warriors
62  ,2018  ,Final  ,Golden State Warriors ,Cleveland Cavaliers   ,Cleveland Cavaliers
64  ,2017  ,Playoff,Boston Celtics        ,Chicago Bulls         ,Chicago Bulls
65  ,2017  ,Playoff,Cleveland Cavaliers   ,Indiana Pacers        ,Indiana Pacers
66  ,2017  ,Playoff,Toronto Raptors       ,Milwaukee Bucks       ,Milwaukee Bucks
67  ,2017  ,Playoff,Washington Wizards    ,Atlanta Hawks         ,Atlanta Hawks
68  ,2017  ,Playoff,Golden State Warriors ,Portland Trail Blazers,Portland Trail Blazers
69  ,2017  ,Playoff,San Antonio Spurs     ,Memphis Grizzlies     ,Memphis Grizzlies
70  ,2017  ,Playoff,Houston Rockets       ,Oklahoma City Thunder ,Oklahoma City Thunder
71  ,2017  ,Playoff,Utah Jazz             ,Los Angeles Clippers  ,Utah Jazz
72  ,2017  ,Quarter,Cleveland Cavaliers   ,Toronto Raptors       ,Toronto Raptors
73  ,2017  ,Quarter,Boston Celtics        ,Washington Wizards    ,Washington Wizards
74  ,2017  ,Quarter,Golden State Warriors ,Utah Jazz             ,Utah Jazz
75  ,2017  ,Quarter,San Antonio Spurs     ,Houston Rockets       ,Houston Rockets
76  ,2017  ,Semi   ,Golden State Warriors ,San Antonio Spurs     ,San Antonio Spurs
77  ,2017  ,Semi   ,Cleveland Cavaliers   ,Boston Celtics        ,Cleveland Cavaliers
78  ,2017  ,Final  ,Golden State Warriors ,Cleveland Cavaliers   ,Cleveland Cavaliers
80  ,2016  ,Playoff,Cleveland Cavaliers   ,Detroit Pistons       ,Detroit Pistons
81  ,2016  ,Playoff,Toronto Raptors       ,Indiana Pacers        ,Indiana Pacers
82  ,2016  ,Playoff,Miami Heat            ,Charlotte Hornets     ,Charlotte Hornets
83  ,2016  ,Playoff,Atlanta Hawks         ,Boston Celtics        ,Boston Celtics
84  ,2016  ,Playoff,Golden State Warriors ,Houston Rockets       ,Houston Rockets
85  ,2016  ,Playoff,San Antonio Spurs     ,Memphis Grizzlies     ,Memphis Grizzlies
86  ,2016  ,Playoff,Oklahoma City Thunder ,Dallas Mavericks      ,Dallas Mavericks
87  ,2016  ,Playoff,Portland Trail Blazers,Los Angeles Clippers  ,Portland Trail Blazers
88  ,2016  ,Quarter,Cleveland Cavaliers   ,Atlanta Hawks         ,Atlanta Hawks
89  ,2016  ,Quarter,Toronto Raptors       ,Miami Heat            ,Miami Heat
90  ,2016  ,Quarter,Golden State Warriors ,Portland Trail Blazers,Portland Trail Blazers
91  ,2016  ,Quarter,Oklahoma City Thunder ,San Antonio Spurs     ,Oklahoma City Thunder
92  ,2016  ,Semi   ,Cleveland Cavaliers   ,Toronto Raptors       ,Toronto Raptors
93  ,2016  ,Semi   ,Golden State Warriors ,Oklahoma City Thunder ,Oklahoma City Thunder
94  ,2016  ,Final  ,Cleveland Cavaliers   ,Golden State Warriors ,Cleveland Cavaliers
96  ,2015  ,Playoff,Atlanta Hawks         ,Brooklyn Nets         ,Brooklyn Nets
97  ,2015  ,Playoff,Cleveland Cavaliers   ,Boston Celtics        ,Boston Celtics
98  ,2015  ,Playoff,Chicago Bulls         ,Milwaukee Bucks       ,Milwaukee Bucks
99  ,2015  ,Playoff,Washington Wizards    ,Toronto Raptors       ,Washington Wizards
100 ,2015  ,Playoff,Golden State Warriors ,New Orleans Pelicans  ,New Orleans Pelicans
101 ,2015  ,Playoff,Houston Rockets       ,Dallas Mavericks      ,Dallas Mavericks
102 ,2015  ,Playoff,Los Angeles Clippers  ,San Antonio Spurs     ,San Antonio Spurs
103 ,2015  ,Playoff,Memphis Grizzlies     ,Portland Trail Blazers,Memphis Grizzlies
104 ,2015  ,Quarter,Cleveland Cavaliers   ,Chicago Bulls         ,Chicago Bulls
105 ,2015  ,Quarter,Atlanta Hawks         ,Washington Wizards    ,Washington Wizards
106 ,2015  ,Quarter,Houston Rockets       ,Los Angeles Clippers  ,Los Angeles Clippers
107 ,2015  ,Quarter,Golden State Warriors ,Memphis Grizzlies     ,Memphis Grizzlies
108 ,2015  ,Semi   ,Cleveland Cavaliers   ,Atlanta Hawks         ,Cleveland Cavaliers
109 ,2015  ,Semi   ,Golden State Warriors ,Houston Rockets       ,Houston Rockets
110 ,2015  ,Final  ,Golden State Warriors ,Cleveland Cavaliers   ,Cleveland Cavaliers
112 ,2014  ,Playoff,Indiana Pacers        ,Atlanta Hawks         ,Atlanta Hawks
113 ,2014  ,Playoff,Miami Heat            ,Charlotte Bobcats     ,Charlotte Bobcats
114 ,2014  ,Playoff,Brooklyn Nets         ,Toronto Raptors       ,Brooklyn Nets
115 ,2014  ,Playoff,Washington Wizards    ,Chicago Bulls         ,Washington Wizards
116 ,2014  ,Playoff,San Antonio Spurs     ,Dallas Mavericks      ,Dallas Mavericks
117 ,2014  ,Playoff,Oklahoma City Thunder ,Memphis Grizzlies     ,Memphis Grizzlies
118 ,2014  ,Playoff,Los Angeles Clippers  ,Golden State Warriors ,Golden State Warriors
119 ,2014  ,Playoff,Portland Trail Blazers,Houston Rockets       ,Portland Trail Blazers
120 ,2014  ,Quarter,Indiana Pacers        ,Washington Wizards    ,Washington Wizards
121 ,2014  ,Quarter,Miami Heat            ,Brooklyn Nets         ,Brooklyn Nets
122 ,2014  ,Quarter,San Antonio Spurs     ,Portland Trail Blazers,Portland Trail Blazers
123 ,2014  ,Quarter,Oklahoma City Thunder ,Los Angeles Clippers  ,Los Angeles Clippers
124 ,2014  ,Semi   ,Miami Heat            ,Indiana Pacers        ,Miami Heat
125 ,2014  ,Semi   ,San Antonio Spurs     ,Oklahoma City Thunder ,Oklahoma City Thunder
126 ,2014  ,Final  ,San Antonio Spurs     ,Miami Heat            ,Miami Heat
