TEAM,SCORE,SEASON
Atlanta Hawks,2,1979-80
Boston Celtics,2,1979-80
Houston Rockets,8,1979-80
Kansas City Kings,5,1979-80
Los Angeles Lakers,3,1979-80
Milwaukee Bucks,2,1979-80
Philadelphia 76ers,28,1979-80
Phoenix Suns,8,1979-80
Portland Trail Blazers,6,1979-80
San Antonio Spurs,5,1979-80
Seattle SuperSonics,9,1979-80
Washington Bullets,6,1979-80
Boston Celtics,3,1980-81
Chicago Bulls,10,1980-81
Houston Rockets,24,1980-81
Indiana Pacers,6,1980-81
Kansas City Kings,15,1980-81
Los Angeles Lakers,3,1980-81
Milwaukee Bucks,2,1980-81
New York Knicks,4,1980-81
Philadelphia 76ers,21,1980-81
Phoenix Suns,1,1980-81
Portland Trail Blazers,4,1980-81
San Antonio Spurs,2,1980-81
Atlanta Hawks,6,1981-82
Boston Celtics,2,1981-82
Denver Nuggets,4,1981-82
Houston Rockets,6,1981-82
Los Angeles Lakers,3,1981-82
Milwaukee Bucks,2,1981-82
New Jersey Nets,4,1981-82
Philadelphia 76ers,28,1981-82
Phoenix Suns,10,1981-82
San Antonio Spurs,4,1981-82
Seattle SuperSonics,6,1981-82
Washington Bullets,10,1981-82
Atlanta Hawks,6,1982-83
Boston Celtics,6,1982-83
Denver Nuggets,12,1982-83
Los Angeles Lakers,3,1982-83
Milwaukee Bucks,4,1982-83
New Jersey Nets,4,1982-83
New York Knicks,10,1982-83
Philadelphia 76ers,21,1982-83
Phoenix Suns,3,1982-83
Portland Trail Blazers,10,1982-83
San Antonio Spurs,4,1982-83
Seattle SuperSonics,4,1982-83
Atlanta Hawks,7,1983-84
Boston Celtics,4,1983-84
Dallas Mavericks,8,1983-84
Denver Nuggets,7,1983-84
Detroit Pistons,4,1983-84
Kansas City Kings,8,1983-84
Los Angeles Lakers,4,1983-84
Milwaukee Bucks,6,1983-84
New Jersey Nets,12,1983-84
New York Knicks,10,1983-84
Philadelphia 76ers,7,1983-84
Phoenix Suns,18,1983-84
Portland Trail Blazers,3,1983-84
Seattle SuperSonics,5,1983-84
Utah Jazz,4,1983-84
Washington Bullets,8,1983-84
Boston Celtics,4,1984-85
Chicago Bulls,7,1984-85
Cleveland Cavaliers,8,1984-85
Dallas Mavericks,4,1984-85
Denver Nuggets,6,1984-85
Detroit Pistons,8,1984-85
Houston Rockets,3,1984-85
Los Angeles Lakers,4,1984-85
Milwaukee Bucks,4,1984-85
New Jersey Nets,5,1984-85
Philadelphia 76ers,21,1984-85
Phoenix Suns,8,1984-85
Portland Trail Blazers,10,1984-85
San Antonio Spurs,7,1984-85
Utah Jazz,12,1984-85
Washington Bullets,6,1984-85
Atlanta Hawks,8,1985-86
Boston Celtics,4,1985-86
Chicago Bulls,8,1985-86
Dallas Mavericks,8,1985-86
Denver Nuggets,6,1985-86
Detroit Pistons,5,1985-86
Houston Rockets,8,1985-86
Los Angeles Lakers,3,1985-86
Milwaukee Bucks,6,1985-86
New Jersey Nets,7,1985-86
Philadelphia 76ers,14,1985-86
Portland Trail Blazers,6,1985-86
Sacramento Kings,7,1985-86
San Antonio Spurs,8,1985-86
Utah Jazz,5,1985-86
Washington Bullets,6,1985-86
Atlanta Hawks,4,1986-87
Boston Celtics,4,1986-87
Chicago Bulls,8,1986-87
Dallas Mavericks,2,1986-87
Denver Nuggets,8,1986-87
Detroit Pistons,9,1986-87
Golden State Warriors,10,1986-87
Houston Rockets,12,1986-87
Indiana Pacers,7,1986-87
Los Angeles Lakers,4,1986-87
Milwaukee Bucks,8,1986-87
Philadelphia 76ers,7,1986-87
Portland Trail Blazers,3,1986-87
Seattle SuperSonics,21,1986-87
Utah Jazz,4,1986-87
Washington Bullets,6,1986-87
Atlanta Hawks,8,1987-88
Boston Celtics,3,1987-88
Chicago Bulls,6,1987-88
Cleveland Cavaliers,6,1987-88
Dallas Mavericks,9,1987-88
Denver Nuggets,4,1987-88
Detroit Pistons,8,1987-88
Houston Rockets,6,1987-88
Los Angeles Lakers,4,1987-88
Milwaukee Bucks,5,1987-88
New York Knicks,8,1987-88
Portland Trail Blazers,4,1987-88
San Antonio Spurs,8,1987-88
Seattle SuperSonics,7,1987-88
Utah Jazz,10,1987-88
Washington Bullets,7,1987-88
Atlanta Hawks,4,1988-89
Boston Celtics,8,1988-89
Chicago Bulls,18,1988-89
Cleveland Cavaliers,3,1988-89
Denver Nuggets,6,1988-89
Detroit Pistons,4,1988-89
Golden State Warriors,14,1988-89
Houston Rockets,5,1988-89
Los Angeles Lakers,4,1988-89
Milwaukee Bucks,10,1988-89
New York Knicks,4,1988-89
Philadelphia 76ers,7,1988-89
Phoenix Suns,9,1988-89
Portland Trail Blazers,8,1988-89
Seattle SuperSonics,8,1988-89
Utah Jazz,2,1988-89
Boston Celtics,4,1989-90
Chicago Bulls,9,1989-90
Cleveland Cavaliers,7,1989-90
Dallas Mavericks,6,1989-90
Denver Nuggets,7,1989-90
Detroit Pistons,4,1989-90
Houston Rockets,8,1989-90
Indiana Pacers,8,1989-90
Los Angeles Lakers,2,1989-90
Milwaukee Bucks,6,1989-90
New York Knicks,10,1989-90
Philadelphia 76ers,14,1989-90
Phoenix Suns,15,1989-90
Portland Trail Blazers,12,1989-90
San Antonio Spurs,4,1989-90
Utah Jazz,4,1989-90
Atlanta Hawks,6,1990-91
Boston Celtics,4,1990-91
Chicago Bulls,4,1990-91
Detroit Pistons,9,1990-91
Golden State Warriors,14,1990-91
Houston Rockets,6,1990-91
Indiana Pacers,7,1990-91
Los Angeles Lakers,12,1990-91
Milwaukee Bucks,4,1990-91
New York Knicks,8,1990-91
Philadelphia 76ers,14,1990-91
Phoenix Suns,4,1990-91
Portland Trail Blazers,3,1990-91
San Antonio Spurs,2,1990-91
Seattle SuperSonics,8,1990-91
Utah Jazz,10,1990-91
Boston Celtics,4,1991-92
Chicago Bulls,4,1991-92
Cleveland Cavaliers,9,1991-92
Detroit Pistons,5,1991-92
Golden State Warriors,3,1991-92
Indiana Pacers,7,1991-92
Los Angeles Clippers,7,1991-92
Los Angeles Lakers,8,1991-92
Miami Heat,8,1991-92
New Jersey Nets,6,1991-92
New York Knicks,8,1991-92
Phoenix Suns,8,1991-92
Portland Trail Blazers,4,1991-92
San Antonio Spurs,5,1991-92
Seattle SuperSonics,12,1991-92
Utah Jazz,6,1991-92
Atlanta Hawks,7,1992-93
Boston Celtics,4,1992-93
Charlotte Hornets,10,1992-93
Chicago Bulls,8,1992-93
Cleveland Cavaliers,6,1992-93
Houston Rockets,4,1992-93
Indiana Pacers,8,1992-93
Los Angeles Clippers,7,1992-93
Los Angeles Lakers,8,1992-93
New Jersey Nets,6,1992-93
New York Knicks,3,1992-93
Phoenix Suns,4,1992-93
Portland Trail Blazers,4,1992-93
San Antonio Spurs,10,1992-93
Seattle SuperSonics,9,1992-93
Utah Jazz,6,1992-93
Atlanta Hawks,2,1993-94
Chicago Bulls,6,1993-94
Cleveland Cavaliers,6,1993-94
Denver Nuggets,16,1993-94
Golden State Warriors,6,1993-94
Houston Rockets,8,1993-94
Indiana Pacers,15,1993-94
Miami Heat,8,1993-94
New Jersey Nets,7,1993-94
New York Knicks,8,1993-94
Orlando Magic,4,1993-94
Phoenix Suns,6,1993-94
Portland Trail Blazers,7,1993-94
San Antonio Spurs,4,1993-94
Seattle SuperSonics,1,1993-94
Utah Jazz,15,1993-94
Atlanta Hawks,7,1994-95
Boston Celtics,8,1994-95
Charlotte Hornets,4,1994-95
Chicago Bulls,10,1994-95
Cleveland Cavaliers,6,1994-95
Denver Nuggets,8,1994-95
Houston Rockets,24,1994-95
Indiana Pacers,6,1994-95
Los Angeles Lakers,10,1994-95
New York Knicks,6,1994-95
Orlando Magic,4,1994-95
Phoenix Suns,4,1994-95
Portland Trail Blazers,7,1994-95
San Antonio Spurs,3,1994-95
Seattle SuperSonics,4,1994-95
Utah Jazz,3,1994-95
Atlanta Hawks,12,1995-96
Chicago Bulls,4,1995-96
Cleveland Cavaliers,4,1995-96
Detroit Pistons,7,1995-96
Houston Rockets,10,1995-96
Indiana Pacers,3,1995-96
Los Angeles Lakers,4,1995-96
Miami Heat,8,1995-96
New York Knicks,10,1995-96
Orlando Magic,6,1995-96
Phoenix Suns,7,1995-96
Portland Trail Blazers,6,1995-96
Sacramento Kings,8,1995-96
San Antonio Spurs,4,1995-96
Seattle SuperSonics,4,1995-96
Utah Jazz,9,1995-96
Atlanta Hawks,8,1996-97
Charlotte Hornets,6,1996-97
Chicago Bulls,4,1996-97
Detroit Pistons,5,1996-97
Houston Rockets,9,1996-97
Los Angeles Clippers,8,1996-97
Los Angeles Lakers,8,1996-97
Miami Heat,6,1996-97
Minnesota Timberwolves,6,1996-97
New York Knicks,6,1996-97
Orlando Magic,7,1996-97
Phoenix Suns,7,1996-97
Portland Trail Blazers,5,1996-97
Seattle SuperSonics,4,1996-97
Utah Jazz,4,1996-97
Washington Bullets,8,1996-97
Atlanta Hawks,5,1997-98
Charlotte Hornets,8,1997-98
Chicago Bulls,4,1997-98
Cleveland Cavaliers,6,1997-98
Houston Rockets,8,1997-98
Indiana Pacers,9,1997-98
Los Angeles Lakers,9,1997-98
Miami Heat,2,1997-98
Minnesota Timberwolves,7,1997-98
New Jersey Nets,8,1997-98
New York Knicks,14,1997-98
Phoenix Suns,4,1997-98
Portland Trail Blazers,6,1997-98
San Antonio Spurs,10,1997-98
Seattle SuperSonics,4,1997-98
Utah Jazz,4,1997-98
Atlanta Hawks,8,1998-99
Detroit Pistons,5,1998-99
Houston Rockets,5,1998-99
Indiana Pacers,6,1998-99
Los Angeles Lakers,8,1998-99
Miami Heat,1,1998-99
Milwaukee Bucks,7,1998-99
Minnesota Timberwolves,8,1998-99
New York Knicks,32,1998-99
Orlando Magic,3,1998-99
Philadelphia 76ers,14,1998-99
Phoenix Suns,7,1998-99
Portland Trail Blazers,6,1998-99
Sacramento Kings,6,1998-99
San Antonio Spurs,4,1998-99
Utah Jazz,6,1998-99
Charlotte Hornets,4,1999-00
Detroit Pistons,7,1999-00
Indiana Pacers,4,1999-00
Los Angeles Lakers,4,1999-00
Miami Heat,4,1999-00
Milwaukee Bucks,8,1999-00
Minnesota Timberwolves,6,1999-00
New York Knicks,9,1999-00
Philadelphia 76ers,14,1999-00
Phoenix Suns,10,1999-00
Portland Trail Blazers,9,1999-00
Sacramento Kings,8,1999-00
San Antonio Spurs,4,1999-00
Seattle SuperSonics,7,1999-00
Toronto Raptors,6,1999-00
Utah Jazz,4,1999-00
Charlotte Hornets,12,2000-01
Dallas Mavericks,10,2000-01
Indiana Pacers,8,2000-01
Los Angeles Lakers,8,2000-01
Miami Heat,3,2000-01
Milwaukee Bucks,6,2000-01
Minnesota Timberwolves,8,2000-01
New York Knicks,4,2000-01
Orlando Magic,7,2000-01
Philadelphia 76ers,28,2000-01
Phoenix Suns,6,2000-01
Portland Trail Blazers,7,2000-01
Sacramento Kings,6,2000-01
San Antonio Spurs,3,2000-01
Toronto Raptors,10,2000-01
Utah Jazz,4,2000-01
Boston Celtics,9,2001-02
Charlotte Hornets,8,2001-02
Dallas Mavericks,8,2001-02
Detroit Pistons,4,2001-02
Indiana Pacers,8,2001-02
Los Angeles Lakers,12,2001-02
Minnesota Timberwolves,5,2001-02
New Jersey Nets,4,2001-02
Orlando Magic,5,2001-02
Philadelphia 76ers,7,2001-02
Portland Trail Blazers,6,2001-02
Sacramento Kings,3,2001-02
San Antonio Spurs,4,2001-02
Seattle SuperSonics,7,2001-02
Toronto Raptors,7,2001-02
Utah Jazz,8,2001-02
Boston Celtics,12,2002-03
Dallas Mavericks,9,2002-03
Detroit Pistons,3,2002-03
Indiana Pacers,3,2002-03
Los Angeles Lakers,10,2002-03
Milwaukee Bucks,7,2002-03
Minnesota Timberwolves,4,2002-03
New Jersey Nets,8,2002-03
New Orleans Hornets,5,2002-03
Orlando Magic,8,2002-03
Philadelphia 76ers,14,2002-03
Phoenix Suns,8,2002-03
Portland Trail Blazers,6,2002-03
Sacramento Kings,4,2002-03
San Antonio Spurs,4,2002-03
Utah Jazz,7,2002-03
Boston Celtics,8,2003-04
Dallas Mavericks,5,2003-04
Denver Nuggets,8,2003-04
Detroit Pistons,12,2003-04
Houston Rockets,7,2003-04
Indiana Pacers,3,2003-04
Los Angeles Lakers,8,2003-04
Memphis Grizzlies,6,2003-04
Miami Heat,8,2003-04
Milwaukee Bucks,6,2003-04
Minnesota Timberwolves,3,2003-04
New Jersey Nets,4,2003-04
New Orleans Hornets,5,2003-04
New York Knicks,7,2003-04
Sacramento Kings,8,2003-04
San Antonio Spurs,6,2003-04
Boston Celtics,3,2004-05
Chicago Bulls,4,2004-05
Dallas Mavericks,8,2004-05
Denver Nuggets,7,2004-05
Detroit Pistons,8,2004-05
Houston Rockets,5,2004-05
Indiana Pacers,12,2004-05
Memphis Grizzlies,8,2004-05
Miami Heat,3,2004-05
New Jersey Nets,8,2004-05
Philadelphia 76ers,7,2004-05
Phoenix Suns,3,2004-05
Sacramento Kings,6,2004-05
San Antonio Spurs,8,2004-05
Seattle SuperSonics,6,2004-05
Washington Wizards,10,2004-05
Chicago Bulls,7,2005-06
Cleveland Cavaliers,8,2005-06
Dallas Mavericks,16,2005-06
Denver Nuggets,3,2005-06
Detroit Pistons,3,2005-06
Indiana Pacers,6,2005-06
Los Angeles Clippers,12,2005-06
Los Angeles Lakers,7,2005-06
Memphis Grizzlies,5,2005-06
Miami Heat,8,2005-06
Milwaukee Bucks,8,2005-06
New Jersey Nets,6,2005-06
Phoenix Suns,6,2005-06
Sacramento Kings,8,2005-06
San Antonio Spurs,2,2005-06
Washington Wizards,5,2005-06
Chicago Bulls,10,2006-07
Cleveland Cavaliers,8,2006-07
Dallas Mavericks,1,2006-07
Denver Nuggets,6,2006-07
Detroit Pistons,3,2006-07
Golden State Warriors,16,2006-07
Houston Rockets,5,2006-07
Los Angeles Lakers,7,2006-07
Miami Heat,4,2006-07
New Jersey Nets,12,2006-07
Orlando Magic,8,2006-07
Phoenix Suns,4,2006-07
San Antonio Spurs,12,2006-07
Toronto Raptors,3,2006-07
Utah Jazz,12,2006-07
Washington Wizards,7,2006-07
Atlanta Hawks,8,2007-08
Boston Celtics,4,2007-08
Cleveland Cavaliers,8,2007-08
Dallas Mavericks,7,2007-08
Denver Nuggets,8,2007-08
Detroit Pistons,6,2007-08
Houston Rockets,5,2007-08
Los Angeles Lakers,4,2007-08
New Orleans Hornets,4,2007-08
Orlando Magic,6,2007-08
Philadelphia 76ers,7,2007-08
Phoenix Suns,6,2007-08
San Antonio Spurs,9,2007-08
Toronto Raptors,6,2007-08
Utah Jazz,8,2007-08
Washington Wizards,5,2007-08
Atlanta Hawks,8,2008-09
Boston Celtics,4,2008-09
Chicago Bulls,7,2008-09
Cleveland Cavaliers,3,2008-09
Dallas Mavericks,12,2008-09
Denver Nuggets,6,2008-09
Detroit Pistons,8,2008-09
Houston Rockets,10,2008-09
Los Angeles Lakers,4,2008-09
Miami Heat,5,2008-09
New Orleans Hornets,7,2008-09
Orlando Magic,12,2008-09
Philadelphia 76ers,7,2008-09
Portland Trail Blazers,4,2008-09
San Antonio Spurs,3,2008-09
Utah Jazz,8,2008-09
Atlanta Hawks,6,2009-10
Boston Celtics,16,2009-10
Charlotte Bobcats,7,2009-10
Chicago Bulls,8,2009-10
Cleveland Cavaliers,2,2009-10
Dallas Mavericks,2,2009-10
Denver Nuggets,4,2009-10
Los Angeles Lakers,4,2009-10
Miami Heat,5,2009-10
Milwaukee Bucks,6,2009-10
Oklahoma City Thunder,8,2009-10
Orlando Magic,6,2009-10
Phoenix Suns,9,2009-10
Portland Trail Blazers,6,2009-10
San Antonio Spurs,14,2009-10
Utah Jazz,10,2009-10
Atlanta Hawks,10,2010-11
Boston Celtics,6,2010-11
Chicago Bulls,3,2010-11
Dallas Mavericks,12,2010-11
Denver Nuggets,5,2010-11
Indiana Pacers,8,2010-11
Los Angeles Lakers,4,2010-11
Memphis Grizzlies,16,2010-11
Miami Heat,8,2010-11
New Orleans Hornets,7,2010-11
New York Knicks,6,2010-11
Oklahoma City Thunder,12,2010-11
Orlando Magic,4,2010-11
Philadelphia 76ers,7,2010-11
Portland Trail Blazers,6,2010-11
San Antonio Spurs,1,2010-11
Atlanta Hawks,5,2011-12
Boston Celtics,12,2011-12
Chicago Bulls,1,2011-12
Dallas Mavericks,7,2011-12
Denver Nuggets,6,2011-12
Indiana Pacers,6,2011-12
Los Angeles Clippers,10,2011-12
Los Angeles Lakers,6,2011-12
Memphis Grizzlies,4,2011-12
Miami Heat,8,2011-12
New York Knicks,7,2011-12
Oklahoma City Thunder,8,2011-12
Orlando Magic,6,2011-12
Philadelphia 76ers,14,2011-12
San Antonio Spurs,3,2011-12
Utah Jazz,8,2011-12
Atlanta Hawks,6,2012-13
Boston Celtics,7,2012-13
Brooklyn Nets,4,2012-13
Chicago Bulls,10,2012-13
Denver Nuggets,3,2012-13
Golden State Warriors,12,2012-13
Houston Rockets,8,2012-13
Indiana Pacers,9,2012-13
Los Angeles Clippers,4,2012-13
Los Angeles Lakers,7,2012-13
Memphis Grizzlies,15,2012-13
Miami Heat,4,2012-13
Milwaukee Bucks,8,2012-13
New York Knicks,4,2012-13
Oklahoma City Thunder,2,2012-13
San Antonio Spurs,8,2012-13
Atlanta Hawks,8,2013-14
Brooklyn Nets,12,2013-14
Charlotte Bobcats,7,2013-14
Chicago Bulls,4,2013-14
Dallas Mavericks,8,2013-14
Golden State Warriors,6,2013-14
Houston Rockets,4,2013-14
Indiana Pacers,3,2013-14
Los Angeles Clippers,6,2013-14
Memphis Grizzlies,7,2013-14
Miami Heat,8,2013-14
Oklahoma City Thunder,6,2013-14
Portland Trail Blazers,10,2013-14
San Antonio Spurs,4,2013-14
Toronto Raptors,3,2013-14
Washington Wizards,10,2013-14
Atlanta Hawks,3,2014-15
Boston Celtics,7,2014-15
Brooklyn Nets,8,2014-15
Chicago Bulls,6,2014-15
Cleveland Cavaliers,8,2014-15
Dallas Mavericks,7,2014-15
Golden State Warriors,4,2014-15
Houston Rockets,6,2014-15
Los Angeles Clippers,6,2014-15
Memphis Grizzlies,10,2014-15
Milwaukee Bucks,6,2014-15
New Orleans Pelicans,8,2014-15
Portland Trail Blazers,4,2014-15
San Antonio Spurs,6,2014-15
Toronto Raptors,4,2014-15
Washington Wizards,10,2014-15
Atlanta Hawks,8,2015-16
Boston Celtics,5,2015-16
Charlotte Hornets,6,2015-16
Cleveland Cavaliers,4,2015-16
Dallas Mavericks,6,2015-16
Detroit Pistons,8,2015-16
Golden State Warriors,4,2015-16
Houston Rockets,8,2015-16
Indiana Pacers,7,2015-16
Los Angeles Clippers,4,2015-16
Memphis Grizzlies,7,2015-16
Miami Heat,6,2015-16
Oklahoma City Thunder,9,2015-16
Portland Trail Blazers,10,2015-16
San Antonio Spurs,4,2015-16
Toronto Raptors,6,2015-16
Atlanta Hawks,5,2016-17
Boston Celtics,3,2016-17
Chicago Bulls,8,2016-17
Cleveland Cavaliers,8,2016-17
Golden State Warriors,4,2016-17
Houston Rockets,6,2016-17
Indiana Pacers,7,2016-17
Los Angeles Clippers,4,2016-17
Memphis Grizzlies,7,2016-17
Milwaukee Bucks,6,2016-17
Oklahoma City Thunder,6,2016-17
Portland Trail Blazers,8,2016-17
San Antonio Spurs,6,2016-17
Toronto Raptors,6,2016-17
Utah Jazz,10,2016-17
Washington Wizards,8,2016-17
Boston Celtics,6,2017-18
Cleveland Cavaliers,16,2017-18
Golden State Warriors,8,2017-18
Houston Rockets,3,2017-18
Indiana Pacers,5,2017-18
Miami Heat,6,2017-18
Milwaukee Bucks,7,2017-18
Minnesota Timberwolves,8,2017-18
New Orleans Pelicans,12,2017-18
Oklahoma City Thunder,4,2017-18
Philadelphia 76ers,14,2017-18
Portland Trail Blazers,3,2017-18
