NAME,TEAM,SALARY,YEAR,POS
Kevin Garnett,Minnesota Timberwolves,28000000,2004, PF
Shaquille O'Neal,Los Angeles Lakers,26571000,2004, C
Rasheed Wallace,Detroit Pistons,18000000,2004, PF
Dikembe Mutombo,New York Knicks,17895000,2004, C
Allan Houston,New York Knicks,15937000,2004, SG
Chris Webber,Sacramento Kings,15937000,2004, C
Damon Stoudamire,Portland Trail Blazers,14625000,2004, PG
Antoine Walker,Dallas Mavericks,13500000,2004, PF
Antonio McDyess,Phoenix Suns,13500000,2004, PF
Shareef Abdur-Rahim,Portland Trail Blazers,13500000,2004, PF
Allen Iverson,Philadelphia 76ers,13500000,2004, SG
Latrell Sprewell,Minnesota Timberwolves,13500000,2004, SG
Vin Baker,New York Knicks,13500000,2004, PF
Zydrunas Ilgauskas,Cleveland Cavaliers,13500000,2004, C
Anfernee Hardaway,New York Knicks,13500000,2004, SF
Ray Allen,Oklahoma City Thunder,13500000,2004, SG
Kobe Bryant,Los Angeles Lakers,13500000,2004, SF
Stephon Marbury,New York Knicks,13500000,2004, PG
Michael Finley,Dallas Mavericks,13281000,2004, SG
Keith Van Horn,Milwaukee Bucks,13280000,2004, PF
Tracy McGrady,Orlando Magic,13279000,2004, SG
Tim Duncan,San Antonio Spurs,13279000,2004, C
Jalen Rose,Toronto Raptors,13279000,2004, SG
Eddie Jones,Miami Heat,12320000,2004, SG
Brian Grant,Miami Heat,12234000,2004, PF
Vlade Divac,Sacramento Kings,12051000,2004, C
Antonio Davis,Chicago Bulls,12000000,2004, PF
Vince Carter,Toronto Raptors,11953000,2004, G
Tim Thomas,New York Knicks,11825000,2004, PF
Tom Gugliotta,Utah Jazz,11668000,2004, PF
Jason Kidd,Brooklyn Nets,10950000,2004, PG
Nick Van Exel,Golden State Warriors,10912000,2004, PG
Glenn Robinson,Philadelphia 76ers,10730000,2004, SF
Theo Ratliff,Portland Trail Blazers,10156000,2004, C
Glen Rice,Los Angeles Clippers,9600000,2004, SF
Kerry Kittles,Brooklyn Nets,9267000,2004, SG
Greg Ostertag,Utah Jazz,8666000,2004, C
Jamal Mashburn,New Orleans Pelicans,8525000,2004, SF
Toni Kukoc,Milwaukee Bucks,8050000,2004, SF
Maurice Taylor,Houston Rockets,7800000,2004, PF
Derek Anderson,Portland Trail Blazers,7794000,2004, SG
Wesley Person,Atlanta Hawks,7700000,2004, SF
Alan Henderson,Atlanta Hawks,7682000,2004, PF
Austin Croshere,Indiana Pacers,7610000,2004, PF
Erick Dampier,Golden State Warriors,7482000,2004, C
Kelvin Cato,Houston Rockets,7344000,2004, C
Marcus Camby,Denver Nuggets,7250000,2004, C
Ron Mercer,San Antonio Spurs,7169000,2004, SG
Shandon Anderson,New York Knicks,6700000,2004, SF
Lorenzen Wright,Memphis Grizzlies,6600000,2004, PF
Jerry Stackhouse,Washington Wizards,6500000,2004, SF
Elton Brand,Los Angeles Clippers,6364000,2004, PF
Doug Christie,Sacramento Kings,6250000,2004, SG
Peja Stojakovic,Sacramento Kings,6250000,2004, SF
Eddie Robinson,Chicago Bulls,6246000,2004, SF
Bob Sura,Atlanta Hawks,6166000,2004, PG
Charlie Ward,San Antonio Spurs,6030000,2004, PG
Bo Outlaw,Memphis Grizzlies,5955000,2004, PF
Howard Eisley,Phoenix Suns,5843000,2004, PG
Steve Nash,Dallas Mavericks,5750000,2004, PG
Steve Francis,Houston Rockets,5720000,2004, PG
Vitaly Potapenko,Oklahoma City Thunder,5715000,2004, C
Nazr Mohammed,New York Knicks,5700000,2004, C
Eric Williams,Cleveland Cavaliers,5560000,2004, PF
Christian Laettner,Washington Wizards,5526000,2004, PF
Alvin Williams,Toronto Raptors,5500000,2004, PG
Ben Wallace,Detroit Pistons,5500000,2004, PF
Ruben Patterson,Portland Trail Blazers,5447000,2004, PF
Calvin Booth,Oklahoma City Thunder,5446000,2004, C
Joe Smith,Milwaukee Bucks,5445000,2004, PF
Clarence Weatherspoon,Houston Rockets,5445000,2004, PF
Avery Johnson,Golden State Warriors,5445000,2004, PG
Danny Fortson,Dallas Mavericks,5428000,2004, C
Jerome Williams,Chicago Bulls,5400000,2004, PF
Brent Barry,Oklahoma City Thunder,5400000,2004, SG
Jahidi White,Phoenix Suns,5394000,2004, C
Kurt Thomas,New York Knicks,5394000,2004, PF
Cuttino Mobley,Houston Rockets,5393000,2004, SG
Scot Pollard,Indiana Pacers,5310000,2004, C
Robert Horry,San Antonio Spurs,5300000,2004, PF
Shawn Bradley,Dallas Mavericks,5194000,2004, C
Baron Davis,New Orleans Pelicans,5173000,2004, PG
Kenyon Martin,Brooklyn Nets,5128000,2004, PF
Brevin Knight,Milwaukee Bucks,5062000,2004, PG
Corliss Williamson,Detroit Pistons,5000000,2004, PF
Aaron McKie,Philadelphia 76ers,5000000,2004, SG
Lamar Odom,Miami Heat,4692000,2004, PF
Stromile Swift,Memphis Grizzlies,4614000,2004, PF
Mark Jackson,Houston Rockets,4580000,2004, PG
Rick Fox,Los Angeles Lakers,4549000,2004, SF
Lamond Murray,Toronto Raptors,4500000,2004, SF
Eric Snow,Philadelphia 76ers,4500000,2004, PG
Michael Stewart,Boston Celtics,4480000,2004, PF
Tony Battie,Cleveland Cavaliers,4400000,2004, C
Adonal Foyle,Golden State Warriors,4400000,2004, C
Jonathan Bender,Indiana Pacers,4278000,2004, SF
Kwame Brown,Washington Wizards,4252000,2004, C
Zeljko Rebraca,Atlanta Hawks,4200000,2004, C
Darius Miles,Portland Trail Blazers,4130000,2004, SF
Anthony Carter,San Antonio Spurs,4063000,2004, PG
David Wesley,New Orleans Pelicans,3960000,2004, SG
Wally Szczerbiak,Minnesota Timberwolves,3912000,2004, SG
Chucky Atkins,Boston Celtics,3900000,2004, PG
Marc Jackson,Philadelphia 76ers,3900000,2004, PF
Marcus Fizer,Chicago Bulls,3726000,2004, F
Andrew DeClercq,Orlando Magic,3625000,2004, C
Lawrence Funderburke,Sacramento Kings,3600000,2004, PF
Moochie Norris,New York Knicks,3600000,2004, PG
Richard Hamilton,Detroit Pistons,3596000,2004, SG
Pau Gasol,Memphis Grizzlies,3417000,2004, PF
Mike Miller,Memphis Grizzlies,3380000,2004, SG
Andre Miller,Denver Nuggets,3317000,2004, PG
Lindsey Hunter,Detroit Pistons,3300000,2004, SG
Chris Whitney,Washington Wizards,3259000,2004, PG
DerMarr Johnson,New York Knicks,3087000,2004, SF
Shawn Marion,Phoenix Suns,3069000,2004, SG
Derek Fisher,Los Angeles Lakers,3000000,2004, PG
Chris Crawford,Atlanta Hawks,3000000,2004, SF
Jason Terry,Atlanta Hawks,2933000,2004, G
Othella Harrington,New York Knicks,2925000,2004, PF
Bimbo Coles,Miami Heat,2925000,2004, PG
