Player,Tm,Real Share,Predicted Share
0,James Harden,HOU,0.955,0.9661899422783964
1,LeBron James,CLE,0.731,0.5358217586011154
2,Anthony Davis,NOP,0.441,0.2554428539832328
3,Damian Lillard,POR,0.205,0.1555256661684968
4,Russell Westbrook,OKC,0.075,0.1550550548385389
5,Giannis Antetokounmpo,MIL,0.074,0.1090671760560684
6,Kevin Durant,GSW,0.065,0.1919032144885166
7,DeMar DeRozan,TOR,0.032,0.0846353510347696
8,LaMarcus Aldridge,SAS,0.006,0.0639164884222553
9,Jimmy Butler,MIN,0.005,0.0340418821598484
10,Stephen Curry,GSW,0.005,0.1106921313895786
11,Joel Embiid,PHI,0.004,0.0504951354714489
12,Victor Oladipo,IND,0.002,0.0324227897569945
