Player,Year,Tm,W/L%,WS,VORP,PER,USG%,BPM,Share,Predicted_Share
Giannis Antetokounmpo,2019,MIL,0.732,14.4,7.4,30.9,32.3,10.4,0.932,0.8665902663262105
James Harden,2019,HOU,0.646,15.2,9.3,30.6,40.5,11.0,0.768,0.7808369654692761
Paul George,2019,OKC,0.598,11.9,6.6,23.3,29.5,7.2,0.352,0.16402269612631123
Nikola Jokić,2019,DEN,0.659,11.8,7.0,26.3,27.4,9.1,0.21,0.19919586274456724
Stephen Curry,2019,GSW,0.695,9.7,5.1,24.4,30.4,6.6,0.173,0.14864607146636247
Damian Lillard,2019,POR,0.646,12.1,6.0,23.7,29.3,6.4,0.068,0.14163742779268562
Joel Embiid,2019,PHI,0.622,8.7,3.8,26.1,33.3,4.9,0.049,0.12105838627170008
Kevin Durant,2019,GSW,0.695,11.5,5.1,24.2,29.0,5.5,0.025,0.134376749662796
Kawhi Leonard,2019,TOR,0.707,9.5,4.7,25.8,30.3,7.2,0.013,0.14099292232024996
Russell Westbrook,2019,OKC,0.598,6.8,4.7,21.1,30.9,5.2,0.008,0.027849462753331555
Rudy Gobert,2019,UTA,0.61,14.4,4.8,24.6,17.8,5.4,0.001,0.07451944571336483
LeBron James,2019,LAL,0.451,7.2,4.9,25.6,31.6,8.0,0.001,0.031243344464318618
