NAME,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MPG,PER,TEAM,SALARY,YEAR,POS,Segment
Precious Achiuwa,22,50,23.0,1161,159,370,0.43,20.0,64.0,0.313,50,86,0.581,108.0,237.0,345.0,57,27.0,29.0,51.0,100,388,23.22,11.37,Toronto Raptors,2711280,2022, PF,Underperforming
Steven Adams,28,58,57.0,1526,161,297,0.542,0.0,0.0,0.0,89,161,0.553,265.0,305.0,570.0,190,49.0,41.0,94.0,110,411,26.31,18.03,Memphis Grizzlies,17073171,2022, C,Average
Bam Adebayo,24,36,36.0,1204,260,491,0.53,0.0,5.0,0.0,165,221,0.747,99.0,272.0,371.0,127,54.0,31.0,102.0,110,685,33.44,21.73,Miami Heat,28103500,2022, C,Overperforming
LaMarcus Aldridge,36,41,11.0,930,233,421,0.553,12.0,40.0,0.3,79,91,0.868,65.0,166.0,231.0,35,13.0,44.0,41.0,71,557,22.68,20.97,Brooklyn Nets,1669178,2022, C,Average
Nickeil Alexander-Walker,23,50,19.0,1317,237,632,0.375,95.0,305.0,0.311,70,97,0.722,36.0,128.0,164.0,139,41.0,19.0,85.0,88,639,25.42,11.17,Utah Jazz,3261480,2022, SG,Underperforming
Grayson Allen,26,50,49.0,1393,198,465,0.426,125.0,319.0,0.392,50,59,0.847,26.0,141.0,167.0,75,41.0,15.0,29.0,71,571,27.86,12.96,Milwaukee Bucks,4054695,2022, SG,Underperforming
Jarrett Allen,23,52,52.0,1697,341,511,0.667,1.0,10.0,0.1,156,221,0.706,188.0,386.0,574.0,91,41.0,70.0,90.0,92,839,32.63,22.46,Cleveland Cavaliers,20000000,2022, C,Overperforming
Kyle Anderson,28,49,8.0,1064,145,336,0.432,26.0,78.0,0.333,49,77,0.636,49.0,210.0,259.0,129,53.0,30.0,52.0,77,365,21.71,14.94,Memphis Grizzlies,9937150,2022, SF,Worst
Giannis Antetokounmpo,27,50,50.0,1640,504,926,0.544,59.0,194.0,0.304,405,561,0.722,94.0,471.0,565.0,302,49.0,68.0,166.0,158,1472,32.8,31.82,Milwaukee Bucks,39344970,2022, PF,Best
Carmelo Anthony,37,51,3.0,1356,236,538,0.439,120.0,305.0,0.393,98,119,0.824,43.0,170.0,213.0,53,38.0,42.0,45.0,115,690,26.59,14.75,Los Angeles Lakers,1669178,2022, PF,Average
Cole Anthony,21,47,47.0,1547,283,709,0.399,102.0,301.0,0.339,161,188,0.856,28.0,244.0,272.0,277,40.0,13.0,136.0,127,829,32.91,15.27,Orlando Magic,3449400,2022, PG,Overperforming
OG Anunoby,24,42,42.0,1541,277,635,0.436,100.0,285.0,0.351,80,107,0.748,66.0,165.0,231.0,110,65.0,24.0,74.0,124,734,36.69,13.79,Toronto Raptors,16071429,2022, SF,Overperforming
D.J. Augustin,34,34,2.0,510,55,136,0.404,39.0,96.0,0.406,33,38,0.868,7.0,34.0,41.0,74,10.0,0.0,45.0,17,182,15.0,10.07,Houston Rockets,7000000,2022, PG,Worst
Deni Avdija,21,60,6.0,1419,170,386,0.44,53.0,171.0,0.31,69,90,0.767,38.0,271.0,309.0,99,48.0,35.0,55.0,141,462,23.65,11.67,Washington Wizards,4692840,2022, SF,Underperforming
Deandre Ayton,23,39,39.0,1137,278,437,0.636,3.0,10.0,0.3,76,106,0.717,99.0,294.0,393.0,55,31.0,32.0,66.0,90,635,29.15,22.5,Phoenix Suns,12632950,2022, C,Overperforming
Marvin Bagley III,22,30,17.0,656,114,246,0.463,15.0,62.0,0.242,35,47,0.745,67.0,148.0,215.0,17,9.0,11.0,21.0,50,278,21.94,14.78,Detroit Pistons,11312114,2022, PF,Underperforming
LaMelo Ball,20,54,54.0,1763,384,911,0.422,144.0,394.0,0.365,163,190,0.858,88.0,293.0,381.0,406,84.0,22.0,173.0,174,1075,32.65,20.91,Charlotte Hornets,8231760,2022, PG,Best
Lonzo Ball,24,35,35.0,1212,162,383,0.423,110.0,260.0,0.423,21,28,0.75,35.0,155.0,190.0,178,64.0,31.0,82.0,85,455,34.63,14.67,Chicago Bulls,18604651,2022, PG,Average
Mo Bamba,23,50,48.0,1297,196,419,0.468,62.0,183.0,0.339,40,50,0.8,103.0,291.0,394.0,64,29.0,91.0,62.0,129,494,25.94,15.81,Orlando Magic,7568743,2022, C,Underperforming
Desmond Bane,23,58,58.0,1748,379,837,0.453,165.0,402.0,0.41,103,113,0.912,34.0,223.0,257.0,145,67.0,25.0,92.0,154,1026,30.14,18.47,Memphis Grizzlies,2033160,2022, SG,Overperforming
Dalano Banton,22,49,1.0,570,70,170,0.412,11.0,44.0,0.25,21,34,0.618,31.0,74.0,105.0,77,24.0,8.0,47.0,57,172,11.63,9.34,Toronto Raptors,925258,2022, PG,Underperforming
Harrison Barnes,29,57,57.0,1923,296,634,0.467,110.0,269.0,0.409,270,324,0.833,64.0,283.0,347.0,143,41.0,9.0,90.0,73,972,33.74,16.45,Sacramento Kings,20284091,2022, SF,Overperforming
Scottie Barnes,20,51,51.0,1789,295,617,0.478,41.0,132.0,0.311,109,148,0.736,122.0,252.0,374.0,165,52.0,40.0,95.0,138,740,35.08,14.19,Toronto Raptors,7280520,2022, SF,Overperforming
RJ Barrett,21,49,49.0,1625,319,765,0.417,102.0,282.0,0.362,169,245,0.69,41.0,240.0,281.0,127,26.0,14.0,97.0,103,909,33.16,15.24,New York Knicks,8623920,2022, SG,Overperforming
Will Barton,31,53,53.0,1711,310,692,0.448,120.0,322.0,0.373,77,96,0.802,33.0,228.0,261.0,207,44.0,28.0,99.0,82,817,32.28,14.56,Denver Nuggets,15625000,2022, SF,Overperforming
Keita Bates-Diop,26,47,13.0,780,108,206,0.524,17.0,45.0,0.378,34,48,0.708,47.0,141.0,188.0,30,24.0,14.0,34.0,50,267,16.6,13.28,San Antonio Spurs,1729217,2022, SF,Underperforming
Nicolas Batum,33,41,36.0,1011,129,269,0.48,79.0,193.0,0.409,16,24,0.667,19.0,162.0,181.0,63,40.0,31.0,29.0,57,353,24.66,14.34,Los Angeles Clippers,3170029,2022, PF,Average
Darius Bazley,21,55,39.0,1508,198,498,0.398,56.0,194.0,0.289,86,124,0.694,63.0,301.0,364.0,72,46.0,60.0,72.0,53,538,27.42,12.41,Oklahoma City Thunder,2513040,2022, PF,Underperforming
Bradley Beal,28,40,40.0,1439,348,771,0.451,63.0,210.0,0.3,169,203,0.833,38.0,151.0,189.0,265,36.0,15.0,135.0,95,928,35.98,18.76,Washington Wizards,33724200,2022, SG,Overperforming
Malik Beasley,25,60,10.0,1514,257,679,0.378,175.0,489.0,0.358,32,42,0.762,23.0,154.0,177.0,86,30.0,9.0,38.0,71,721,25.23,12.11,Minnesota Timberwolves,14491964,2022, SG,Underperforming
DeAndre' Bembry,27,48,20.0,949,121,213,0.568,15.0,36.0,0.417,21,35,0.6,38.0,114.0,152.0,60,47.0,25.0,30.0,104,278,19.59,12.54,Brooklyn Nets,1669178,2022, SG,Worst
Davis Bertans,29,34,0.0,501,60,171,0.351,46.0,144.0,0.319,28,30,0.933,6.0,55.0,61.0,16,11.0,6.0,14.0,55,194,14.86,8.89,Dallas Mavericks,16000000,2022, SF,Worst
Patrick Beverley,33,42,38.0,1102,131,325,0.403,60.0,178.0,0.337,61,86,0.709,49.0,136.0,185.0,199,49.0,38.0,56.0,129,383,26.24,14.65,Minnesota Timberwolves,14320988,2022, PG,Average
Saddiq Bey,22,60,60.0,2008,322,833,0.387,151.0,441.0,0.342,146,175,0.834,86.0,261.0,347.0,168,53.0,13.0,77.0,97,941,33.47,12.71,Detroit Pistons,2824320,2022, SF,Overperforming
Khem Birch,29,33,10.0,610,60,124,0.484,0.0,8.0,0.0,36,48,0.75,76.0,70.0,146.0,38,24.0,16.0,19.0,57,156,18.48,12.72,Toronto Raptors,6350000,2022, C,Worst
Nemanja Bjelica,33,54,0.0,821,123,268,0.459,41.0,121.0,0.339,45,66,0.682,45.0,164.0,209.0,103,31.0,18.0,60.0,89,332,15.2,15.28,Golden State Warriors,1669178,2022, PF,Worst
Eric Bledsoe,32,54,29.0,1361,197,468,0.421,51.0,163.0,0.313,89,117,0.761,28.0,154.0,182.0,225,69.0,19.0,116.0,85,534,25.2,13.24,Los Angeles Clippers,18125000,2022, SG,Average
Bogdan Bogdanovic,29,42,26.0,1216,210,483,0.435,106.0,282.0,0.376,46,58,0.793,15.0,150.0,165.0,125,42.0,8.0,48.0,86,572,28.95,14.29,Atlanta Hawks,18000000,2022, SG,Average
Bojan Bogdanovic,32,57,57.0,1767,347,763,0.455,139.0,369.0,0.377,183,210,0.871,48.0,199.0,247.0,97,26.0,1.0,98.0,94,1016,31.0,16.49,Utah Jazz,18700000,2022, SF,Overperforming
Devin Booker,25,53,53.0,1816,492,1100,0.447,137.0,375.0,0.365,234,269,0.87,41.0,232.0,273.0,244,60.0,21.0,129.0,132,1355,34.26,21.23,Phoenix Suns,31650600,2022, SG,Best
Brandon Boston Jr.,20,41,0.0,621,98,264,0.371,28.0,94.0,0.298,50,59,0.847,13.0,81.0,94.0,36,22.0,11.0,26.0,35,274,15.15,11.58,Los Angeles Clippers,925258,2022, SG,Underperforming
Chris Boucher,29,57,8.0,1157,179,384,0.466,42.0,150.0,0.28,112,146,0.767,120.0,214.0,334.0,18,36.0,57.0,34.0,123,512,20.3,16.37,Toronto Raptors,7020000,2022, PF,Average
Avery Bradley,31,49,42.0,1165,123,299,0.411,67.0,176.0,0.381,12,14,0.857,27.0,86.0,113.0,41,46.0,9.0,33.0,94,325,23.78,7.76,Los Angeles Lakers,1669178,2022, PG,Worst
Tony Bradley,24,45,7.0,500,62,107,0.579,0.0,0.0,0.0,14,21,0.667,59.0,108.0,167.0,22,10.0,31.0,28.0,54,138,11.11,14.57,Chicago Bulls,1669178,2022, C,Underperforming
Mikal Bridges,25,60,60.0,2089,321,605,0.531,82.0,228.0,0.36,80,96,0.833,60.0,203.0,263.0,133,71.0,26.0,47.0,114,804,34.82,14.51,Phoenix Suns,5557725,2022, SF,Overperforming
Miles Bridges,23,59,59.0,2134,436,907,0.481,106.0,347.0,0.305,194,243,0.798,71.0,357.0,428.0,215,60.0,53.0,118.0,155,1172,36.17,18.69,Charlotte Hornets,5421493,2022, SF,Overperforming
Oshae Brissett,23,48,6.0,990,123,306,0.402,44.0,137.0,0.321,59,94,0.628,75.0,160.0,235.0,40,29.0,21.0,37.0,72,349,20.62,11.03,Indiana Pacers,1701593,2022, SF,Underperforming
Malcolm Brogdon,29,29,29.0,965,190,425,0.447,49.0,158.0,0.31,105,122,0.861,24.0,124.0,148.0,170,25.0,11.0,61.0,58,534,33.28,17.01,Indiana Pacers,21700000,2022, PG,Overperforming
Armoni Brooks,23,41,8.0,690,87,251,0.347,64.0,213.0,0.3,16,19,0.842,12.0,69.0,81.0,49,21.0,8.0,23.0,60,254,16.83,9.06,Houston Rockets,1489065,2022, SG,Underperforming
Dillon Brooks,26,21,20.0,587,145,340,0.426,33.0,101.0,0.327,64,72,0.889,17.0,52.0,69.0,57,27.0,4.0,37.0,69,387,27.95,18.14,Memphis Grizzlies,12200000,2022, SF,Average
Bruce Brown,25,52,25.0,1130,144,298,0.483,17.0,49.0,0.347,48,65,0.738,66.0,163.0,229.0,73,53.0,27.0,33.0,123,353,21.73,12.72,Brooklyn Nets,4736102,2022, SF,Underperforming
Jaylen Brown,25,48,48.0,1644,414,901,0.459,124.0,357.0,0.347,185,239,0.774,38.0,267.0,305.0,156,50.0,16.0,137.0,122,1137,34.25,19.73,Boston Celtics,26758928,2022, SG,Best
Sterling Brown,27,38,3.0,523,51,128,0.398,27.0,79.0,0.342,10,11,0.909,22.0,106.0,128.0,30,12.0,5.0,21.0,44,139,13.76,8.76,Dallas Mavericks,3000000,2022, SF,Worst
Troy Brown Jr.,22,50,6.0,892,86,214,0.402,35.0,105.0,0.333,19,25,0.76,35.0,138.0,173.0,55,28.0,4.0,22.0,55,226,17.84,9.54,Chicago Bulls,5170564,2022, SF,Underperforming
Jalen Brunson,25,59,41.0,1896,379,757,0.501,67.0,181.0,0.37,126,155,0.813,33.0,191.0,224.0,316,52.0,3.0,103.0,115,951,32.14,16.6,Dallas Mavericks,1802057,2022, PG,Overperforming
Reggie Bullock,30,50,19.0,1276,142,343,0.414,96.0,263.0,0.365,30,35,0.857,21.0,146.0,167.0,53,27.0,6.0,26.0,71,410,25.52,9.43,Dallas Mavericks,9536000,2022, SF,Worst
Alec Burks,30,59,22.0,1578,193,505,0.382,101.0,261.0,0.387,159,193,0.824,35.0,228.0,263.0,156,63.0,17.0,58.0,140,646,26.75,14.45,New York Knicks,9536000,2022, SG,Average
Jimmy Butler,32,42,42.0,1437,302,629,0.48,16.0,80.0,0.2,300,340,0.882,79.0,183.0,262.0,245,74.0,19.0,91.0,65,920,34.21,24.86,Miami Heat,36016200,2022, SF,Best
Kentavious Caldwell-Pope,29,57,57.0,1694,240,583,0.412,112.0,296.0,0.378,82,90,0.911,28.0,162.0,190.0,100,62.0,21.0,68.0,97,674,29.72,11.66,Washington Wizards,13038862,2022, SG,Average
Facundo Campazzo,30,55,4.0,1098,104,275,0.378,57.0,178.0,0.32,58,72,0.806,20.0,84.0,104.0,201,58.0,21.0,63.0,112,323,19.96,11.17,Denver Nuggets,3200000,2022, PG,Worst
Clint Capela,27,52,51.0,1449,250,424,0.59,0.0,1.0,0.0,57,122,0.467,194.0,435.0,629.0,70,36.0,72.0,31.0,116,557,27.87,19.96,Atlanta Hawks,18603448,2022, C,Overperforming
Jevon Carter,26,46,1.0,552,58,174,0.333,42.0,127.0,0.331,7,10,0.7,9.0,58.0,67.0,46,14.0,10.0,26.0,45,165,11.94,7.04,Brooklyn Nets,3650000,2022, PG,Worst
Wendell Carter Jr.,22,52,51.0,1532,283,551,0.514,60.0,186.0,0.323,113,160,0.706,110.0,422.0,532.0,141,32.0,36.0,92.0,135,739,29.46,18.66,Orlando Magic,6920027,2022, C,Overperforming
