SEASON,TEAM,MONTH,ELO,GP,MIN,PTS,W,L,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
2021-22,Atlanta Hawks,December,1432.1099394024473,50.0,2400.0,5575.0,24.0,26.0,2036.0,4365.0,625.0,1672.0,878.0,1097.0,485.0,1735.0,2220.0,1211.0,616.0,337.0,221.0,914.0
2021-22,Atlanta Hawks,January,1443.6142936980946,58.0,2784.0,6510.0,28.0,30.0,2381.0,5093.0,734.0,1946.0,1014.0,1257.0,577.0,1996.0,2573.0,1414.0,717.0,402.0,255.0,1073.0
2021-22,Atlanta Hawks,November,1481.566495998139,35.0,1680.0,3872.0,16.0,19.0,1426.0,3104.0,433.0,1136.0,587.0,729.0,369.0,1221.0,1590.0,826.0,425.0,234.0,157.0,622.0
2021-22,Boston Celtics,December,1464.4995416323186,52.0,2536.0,5615.0,27.0,25.0,2043.0,4553.0,645.0,1893.0,884.0,1083.0,559.0,1845.0,2404.0,1199.0,730.0,378.0,304.0,976.0
2021-22,Boston Celtics,January,1393.472646814944,60.0,2920.0,6531.0,34.0,26.0,2379.0,5247.0,754.0,2195.0,1019.0,1252.0,642.0,2155.0,2797.0,1416.0,845.0,434.0,362.0,1119.0
2021-22,Boston Celtics,November,1400.159705061108,36.0,1758.0,3889.0,17.0,19.0,1412.0,3191.0,437.0,1314.0,628.0,777.0,397.0,1263.0,1660.0,818.0,502.0,272.0,202.0,684.0
2021-22,Brooklyn Nets,December,1374.865836881432,49.0,2362.0,5481.0,29.0,20.0,2043.0,4333.0,542.0,1540.0,853.0,1038.0,493.0,1736.0,2229.0,1246.0,695.0,341.0,269.0,975.0
2021-22,Brooklyn Nets,January,1543.335969124224,58.0,2794.0,6433.0,31.0,27.0,2406.0,5142.0,646.0,1845.0,975.0,1207.0,591.0,2012.0,2603.0,1445.0,799.0,409.0,308.0,1153.0
2021-22,Brooklyn Nets,November,1529.1502658271932,33.0,1589.0,3639.0,23.0,10.0,1345.0,2877.0,381.0,1075.0,568.0,700.0,298.0,1206.0,1504.0,843.0,471.0,220.0,185.0,653.0
2021-22,Charlotte Hornets,December,1374.8767384385997,51.0,2468.0,5839.0,28.0,23.0,2168.0,4695.0,713.0,1942.0,790.0,1075.0,536.0,1719.0,2255.0,1386.0,662.0,443.0,255.0,994.0
2021-22,Charlotte Hornets,January,1329.4517657944352,59.0,2857.0,6722.0,29.0,30.0,2490.0,5444.0,811.0,2264.0,931.0,1262.0,646.0,2004.0,2650.0,1603.0,783.0,515.0,286.0,1171.0
2021-22,Charlotte Hornets,November,1269.4769281927984,36.0,1748.0,4146.0,19.0,17.0,1537.0,3330.0,511.0,1350.0,561.0,751.0,383.0,1192.0,1575.0,965.0,466.0,319.0,191.0,693.0
2021-22,Chicago Bulls,December,1442.693081841671,49.0,2352.0,5439.0,31.0,18.0,2028.0,4258.0,557.0,1481.0,826.0,1019.0,433.0,1664.0,2097.0,1191.0,645.0,363.0,223.0,924.0
2021-22,Chicago Bulls,January,1472.216991211864,59.0,2837.0,6645.0,38.0,21.0,2482.0,5139.0,662.0,1760.0,1019.0,1248.0,526.0,2032.0,2558.0,1444.0,769.0,418.0,264.0,1098.0
2021-22,Chicago Bulls,November,1416.127675779269,33.0,1584.0,3653.0,23.0,10.0,1360.0,2870.0,374.0,980.0,559.0,686.0,293.0,1117.0,1410.0,787.0,433.0,257.0,157.0,614.0
2021-22,Cleveland Cavaliers,December,1467.9720372706065,51.0,2448.0,5448.0,31.0,20.0,2023.0,4343.0,606.0,1730.0,796.0,1052.0,521.0,1776.0,2297.0,1302.0,761.0,366.0,225.0,850.0
2021-22,Cleveland Cavaliers,January,1333.2017432099476,58.0,2784.0,6186.0,35.0,23.0,2297.0,4925.0,680.0,1928.0,912.0,1208.0,599.0,2003.0,2602.0,1465.0,861.0,419.0,249.0,983.0
2021-22,Cleveland Cavaliers,November,1232.8730021768088,36.0,1728.0,3877.0,20.0,16.0,1432.0,3090.0,448.0,1259.0,565.0,721.0,360.0,1272.0,1632.0,914.0,549.0,268.0,159.0,614.0
2021-22,Dallas Mavericks,December,1482.5462670607938,51.0,2458.0,5411.0,29.0,22.0,1991.0,4397.0,625.0,1873.0,804.0,1047.0,477.0,1763.0,2240.0,1219.0,640.0,358.0,209.0,1001.0
2021-22,Dallas Mavericks,January,1483.8362237227373,58.0,2799.0,6167.0,34.0,24.0,2261.0,4986.0,729.0,2141.0,916.0,1195.0,552.0,1985.0,2537.0,1380.0,731.0,409.0,237.0,1149.0
2021-22,Dallas Mavericks,November,1474.497434428586,35.0,1690.0,3691.0,17.0,18.0,1366.0,3043.0,425.0,1295.0,534.0,700.0,338.0,1185.0,1523.0,825.0,428.0,243.0,141.0,700.0
2021-22,Denver Nuggets,December,1447.4714314479766,49.0,2362.0,5343.0,28.0,21.0,2001.0,4244.0,626.0,1777.0,715.0,915.0,438.0,1686.0,2124.0,1328.0,687.0,357.0,182.0,946.0
2021-22,Denver Nuggets,January,1440.4491306305674,58.0,2794.0,6373.0,33.0,25.0,2374.0,5022.0,751.0,2118.0,874.0,1107.0,533.0,2016.0,2549.0,1572.0,833.0,414.0,213.0,1115.0
2021-22,Denver Nuggets,November,1438.1305759385243,33.0,1589.0,3490.0,17.0,16.0,1318.0,2863.0,416.0,1207.0,438.0,575.0,277.0,1129.0,1406.0,846.0,450.0,247.0,133.0,624.0
2021-22,Detroit Pistons,December,1220.5116764190475,49.0,2362.0,5014.0,12.0,37.0,1811.0,4302.0,549.0,1717.0,843.0,1082.0,509.0,1571.0,2080.0,1094.0,717.0,393.0,237.0,1045.0
2021-22,Detroit Pistons,January,1242.6680635528091,58.0,2794.0,5948.0,13.0,45.0,2163.0,5137.0,642.0,2006.0,980.0,1264.0,632.0,1852.0,2484.0,1314.0,846.0,449.0,278.0,1249.0
2021-22,Detroit Pistons,November,1256.9414358798758,33.0,1589.0,3308.0,5.0,28.0,1186.0,2874.0,366.0,1174.0,570.0,725.0,338.0,1063.0,1401.0,710.0,508.0,270.0,158.0,688.0
2021-22,Golden State Warriors,December,1571.3018577398113,51.0,2458.0,5630.0,38.0,13.0,2052.0,4403.0,732.0,2035.0,794.0,1044.0,510.0,1867.0,2377.0,1401.0,795.0,479.0,256.0,1039.0
2021-22,Golden State Warriors,January,1556.590168747596,59.0,2842.0,6526.0,42.0,17.0,2377.0,5098.0,856.0,2367.0,916.0,1200.0,574.0,2128.0,2702.0,1605.0,897.0,548.0,284.0,1200.0
